Year,Team,Games Played,Total Points,Total Wins,Total Losses,Total Draws,Goals,Goals Against,Accuracy (%),Penalty Kick Taken,Penalty Conceded,Fouls Committed,Fouls Suffered,Total Offside,Yellow Cards,Red Cards,Corners,Total Distance Covered,Average Distance Covered,Total Distance Covered Walking,Average Distance Covered Walking,Total Distance Covered Jogging,Average Distance Covered Jogging,Total Distance Covered Low Intensity Running,Average Distance Covered Low Intensity Running,Total Distance Covered High Intensity Running,Average Distance Covered High Intensity Running,Total Distance Covered Sprinting,Average Distance Covered Sprinting,Total Successful Final Third Pass,Total Sub Goals,Total Saves,Average Possession,Average Possession Time,Cross Complete Percentage,Tackles Won Percentage,Aerial Duels Won Percentage,Duels Won Percentage,Defender Goals,Midfielder Goals,Forward Goals,Aerial Duels,Possession Percentage,Aerial Duels Lost,Aerial Duels Won,Attempts From Set Pieces,Blocked Shots,Blocks,Catches,Clean Sheets,Clearances Off The Line,Corners Taken (Incl Short Corners),Corners Won,Crossing Accuracy,Drops,Duels,Duels Lost,Duels Won,Foul Attempted Tackle,Foul Won Penalty,Gk Successful Distribution,Gk Unsuccessful Distribution,Goal Assists,Goal Conversion,Goal Kicks,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals Openplay,Goals From Inside Box,Goals From Outside Box,Ground Duels,Ground Duels Lost,Ground Duels Won,Handballs Conceded,Headed Goals,Hit Woodwork,Interceptions,Key Passes (Attempt Assists),Last Player Tackle,Left Foot Goals,Number Of Defensive Actions,Number Of Opposition Passes,Offsides,Open Play Passes,Overruns,Own Goals Accrued,Own Goals Conceded,Ppda,Passing % Opp Half,Passing Accuracy,Penalties Conceded,Penalties Off Target,Penalties Saved,Penalties Taken,Penalty Goals,Penalty Goals Conceded,Points Dropped From Winning Positions,Points Gained From Losing Positions,Putthrough/Blocked Distribution,Putthrough/Blocked Distribution Won,Recoveries,Red Card - 2Nd Yellow,Right Foot Goals,Shooting Accuracy,Shots Off Target (Inc Woodwork),Shots On Conceded Inside Box,Shots On Conceded Outside Box,Shots On Target ( Inc Goals ),Successful Corners Into Box,Successful Crosses & Corners,Successful Crosses Open Play,Successful Dribbles,Successful Launches,Successful Lay-Offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackle Success,Tackles Lost,Tackles Won,Throw Ins To Opposition Player,Throw Ins To Own Player,Times Tackled,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Red Cards,Total Shots,Total Shots Conceded,Total Successful Passes ( Excl Crosses & Corners ),Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Corners Into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses Open Play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Unsuccessful Lay-Offs,Home Goals,Away Goals,Set Pieces Goals,Straight Red Cards,Other Goals,Last Man Tackle
2022,Edmonton,28,20,4,16,8,31,51,76,5,8,320,334,49,52,3,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,564,41.0,321,243,32,57,72,18,4,2.0,114,114,24.75,7.0,2727,1394,1333,165,5.0,289,129,19,14.49,,51,46,5,,24,7,2163,1073,1090,13,4,6,322,163,,6,,,49,8505,,1.0,5.0,,66.24,75.33,9.0,,1.0,5.0,4.0,8.0,16.0,7,392,224,1636,2.0,19,45.33,117,107,28,97,30,99,62,222,104,55,834,6491,3332,3727,6126,59.14,219,317,118,514,539,422,320,334,3802,9239,3.0,214,327,6960,2279,75,301,202,259,303,1000,1949,631,1279,13,20,11,3.0,1.0,1.0,2.0
2022,Forge,31,47,14,9,5,52,27,85,5,0,352,434,67,63,2,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,514,58.0,266,248,15,86,53,24,11,1.0,181,181,18.67,2.0,2922,1467,1455,183,5.0,398,6,34,21.31,,27,24,3,,46,6,2408,1201,1207,14,9,12,235,203,,17,,,67,14366,,3.0,2.0,,78.66,84.36,,,,5.0,4.0,,6.0,11,488,180,1819,,23,47.54,128,73,27,116,32,98,62,279,46,86,698,12044,6587,6326,12117,60.64,196,302,95,678,682,343,352,434,4214,15191,2.0,244,273,12815,2376,84,427,318,355,200,650,2187,616,1726,8,26,26,,2.0,,2.0
2022,HFX Wanderers,28,29,8,15,5,24,38,81,10,3,355,325,57,56,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,628,51.0,293,335,9,61,75,12,9,2.0,110,110,23.44,1.0,2774,1333,1441,177,10.0,343,64,8,10.17,,38,32,6,,22,2,2146,1040,1106,23,2,11,290,212,,12,,,57,11376,,1.0,,,72.36,80.37,3.0,,,10.0,10.0,3.0,2.0,8,430,188,1703,1.0,9,41.95,137,69,32,99,36,98,47,238,75,81,765,9148,4361,5422,8920,59.45,221,324,74,567,518,444,355,325,3876,12050,3.0,236,299,9685,2365,54,320,227,236,251,827,1948,737,1538,11,13,11,1.0,2.0,,
2022,Inter Toronto,28,34,9,12,7,31,37,81,3,7,378,351,60,64,5,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,564,48.0,273,291,12,75,75,26,7,2.0,122,122,25.29,3.0,2915,1467,1448,191,3.0,325,81,23,12.3,,37,34,3,,27,4,2351,1194,1157,18,6,9,269,218,,6,,,60,10322,,,1.0,,71.43,80.54,8.0,,1.0,3.0,2.0,7.0,5.0,11,380,184,1708,2.0,19,43.25,143,72,46,109,44,130,76,261,77,43,811,8344,4083,4918,8060,60.25,219,332,114,495,559,412,378,351,3754,11014,5.0,252,304,8871,2143,67,384,281,287,232,827,1965,562,1316,11,17,14,,3.0,,
2022,Pacific,30,46,13,8,7,37,36,82,4,4,429,331,40,67,2,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,679,53.0,319,360,22,80,77,25,9,4.0,111,111,21.11,6.0,2989,1486,1503,230,4.0,294,79,23,16.82,,36,28,8,,32,5,2310,1167,1143,16,10,4,322,196,,9,,,40,12965,,2.0,1.0,,71.43,81.79,4.0,,,4.0,3.0,4.0,5.0,10,431,220,1744,,16,52.27,105,86,32,115,27,99,61,221,80,83,860,10659,4681,6585,10307,63.41,217,376,117,518,493,504,429,331,4006,13654,2.0,220,326,11167,2487,71,370,267,221,394,1005,2203,654,1482,9,22,15,1.0,2.0,,
2022,Valour,28,37,10,11,7,36,34,80,4,4,368,323,40,70,7,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,655,52.0,329,326,10,80,75,16,9,2.0,132,132,22.81,2.0,2850,1429,1421,198,4.0,263,99,22,14.46,,34,27,7,,32,4,2195,1100,1095,11,7,3,300,207,,9,,,40,11050,,1.0,2.0,,70.65,79.85,7.0,,3.0,4.0,4.0,4.0,22.0,1,404,184,1695,5.0,19,45.78,135,73,37,114,49,107,48,232,78,87,905,8883,4281,5176,8445,61.21,211,333,124,589,502,472,368,323,3887,11709,7.0,249,306,9350,2359,68,362,254,252,328,949,2096,625,1410,16,15,21,,2.0,,3.0
2023,Atlético Ottawa,28,36,10,12,6,38,34,79,4,0,366,271,41,61,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,567,44.0,263,304,14,68,55,21,9,2.0,100,100,19.21,2.0,2842,1433,1409,186,4.0,321,82,23,16.31,264.0,34,29,5,,32,6,2275,1170,1105,18,2,8,238,190,,13,,,41,9603,39.0,,3.0,,70.48,78.99,1.0,,1.0,4.0,3.0,,11.0,5,453,221,1610,,23,53.65,108,70,31,125,18,83,62,285,67,40,769,7600,3720,4464,7332,61.4,215,342,148,432,494,514,366,271,3634,10256,1.0,233,284,8101,2155,57,349,259,247,321,907,1872,632,1248,6,16,22,4.0,1.0,,1.0
2023,Cavalry,31,55,16,5,7,50,32,84,6,4,411,420,54,73,1,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,686,54.0,339,347,20,94,100,31,8,,162,162,28.24,2.0,3087,1554,1533,207,6.0,338,62,32,17.79,270.0,32,28,4,,45,5,2401,1215,1186,21,8,10,248,241,,15,,,54,12991,52.0,3.0,,,74.87,83.74,5.0,,,6.0,6.0,4.0,15.0,7,463,225,1722,,24,40.57,167,66,39,114,51,157,94,262,68,101,803,10892,5019,6668,10727,67.13,167,341,105,597,566,415,411,420,3872,13769,1.0,281,356,11530,2239,83,399,268,303,246,879,2031,607,1360,14,28,22,1.0,1.0,,2.0
2023,Forge,30,42,11,8,9,43,34,84,3,4,354,365,56,65,1,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,580,53.0,278,302,19,101,84,22,10,2.0,175,175,26.53,5.0,2866,1454,1412,172,3.0,382,19,29,13.61,243.0,34,28,6,,35,8,2286,1176,1110,14,9,13,223,279,,15,,,56,13153,51.0,1.0,1.0,,78.26,83.73,5.0,,,3.0,2.0,4.0,4.0,17,467,193,1719,,16,45.25,173,65,34,143,35,143,107,291,32,116,796,10968,5696,6114,10871,60.65,181,279,94,596,561,448,354,365,3941,13934,1.0,316,333,11667,2267,80,396,295,299,176,655,1939,724,1612,14,23,20,2.0,1.0,2.0,
2023,HFX Wanderers,29,42,11,8,9,39,33,84,5,3,372,390,48,79,1,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,631,52.0,321,310,6,84,86,21,7,2.0,113,113,29.5,2.0,2967,1486,1481,208,5.0,363,47,31,16.05,261.0,33,24,9,,32,7,2336,1165,1171,9,6,7,266,229,,8,,,48,12856,51.0,,3.0,,76.75,83.8,3.0,,,5.0,5.0,3.0,18.0,6,489,245,1697,,25,46.09,131,80,28,112,32,123,82,256,47,114,872,10755,5087,6452,10544,63.5,192,334,81,503,513,499,372,390,3680,13623,1.0,243,342,11416,2207,42,294,231,227,167,723,1798,703,1484,9,25,14,,1.0,,
