Season,Date,Hometeam,Awayteam,Homescore,Awayscore,Status,Venue,Result,Home_Prior,Away_Prior
2022,2022-06-26T23:00:00Z,Cavalry,Edmonton,3,1,FINISHED,ATCO Field,0,22.3002213653662,-48.740166522180374
2022,2022-06-29T23:00:00Z,Forge,Valour,0,1,FINISHED,Hamilton Stadium,2,58.056646379829616,-8.092312512876008
2022,2022-06-30T22:30:00Z,HFX Wanderers,Atlético Ottawa,0,2,FINISHED,Wanderers Grounds,2,-18.65030609587324,-3.3060322952750765
2022,2022-07-01T01:30:00Z,Pacific,Cavalry,3,3,FINISHED,Starlight Stadium,1,7.804509356352445,22.3002213653662
2022,2022-07-01T22:00:00Z,Edmonton,Inter Toronto,3,0,FINISHED,Clarke Field,0,-48.740166522180374,-6.212942346816782
2022,2022-07-03T20:00:00Z,Forge,Atlético Ottawa,0,1,FINISHED,Hamilton Stadium,2,58.056646379829616,-3.3060322952750765
2022,2022-07-08T23:30:00Z,Inter Toronto,Forge,0,2,FINISHED,York Lions Stadium,2,-6.212942346816782,58.056646379829616
2022,2022-07-09T20:00:00Z,Edmonton,Pacific,2,3,FINISHED,Clarke Field,2,-48.740166522180374,7.804509356352445
2022,2022-07-09T23:00:00Z,Atlético Ottawa,Cavalry,1,1,FINISHED,TD Place Stadium,1,-3.3060322952750765,22.3002213653662
2022,2022-07-10T19:00:00Z,Valour,HFX Wanderers,1,0,FINISHED,Princess Auto Stadium,0,-8.092312512876008,-18.65030609587324
2022,2022-07-15T00:30:00Z,Cavalry,HFX Wanderers,3,0,FINISHED,ATCO Field,0,22.3002213653662,-18.65030609587324
2022,2022-07-15T23:30:00Z,Inter Toronto,Pacific,2,4,FINISHED,York Lions Stadium,2,-6.212942346816782,7.804509356352445
2022,2022-07-19T22:45:00Z,Forge,Edmonton,5,1,FINISHED,Hamilton Stadium,0,58.056646379829616,-48.740166522180374
2022,2022-07-20T01:30:00Z,Cavalry,Inter Toronto,0,1,FINISHED,ATCO Field,2,22.3002213653662,-6.212942346816782
2022,2022-07-20T23:00:00Z,Atlético Ottawa,Valour,1,1,FINISHED,TD Place Stadium,1,-3.3060322952750765,-8.092312512876008
2022,2022-07-23T02:00:00Z,Pacific,Cavalry,3,0,FINISHED,Starlight Stadium,0,7.804509356352445,22.3002213653662
2022,2022-07-23T17:30:00Z,HFX Wanderers,Edmonton,1,1,FINISHED,Wanderers Grounds,1,-18.65030609587324,-48.740166522180374
2022,2022-07-23T20:30:00Z,Forge,Valour,3,1,FINISHED,Hamilton Stadium,0,58.056646379829616,-8.092312512876008
2022,2022-07-24T18:00:00Z,Inter Toronto,Atlético Ottawa,0,3,FINISHED,York Lions Stadium,2,-6.212942346816782,-3.3060322952750765
2022,2022-07-28T01:00:00Z,Cavalry,Forge,1,2,FINISHED,ATCO Field,2,22.3002213653662,58.056646379829616
2022,2022-07-30T19:00:00Z,Valour,Pacific,1,2,FINISHED,Princess Auto Stadium,2,-8.092312512876008,7.804509356352445
2022,2022-07-30T22:00:00Z,Cavalry,Edmonton,2,0,FINISHED,ATCO Field,0,22.3002213653662,-48.740166522180374
2022,2022-07-31T23:00:00Z,Atlético Ottawa,Forge,0,4,FINISHED,TD Place Stadium,2,-3.3060322952750765,58.056646379829616
2022,2022-08-01T18:00:00Z,HFX Wanderers,Inter Toronto,2,4,FINISHED,Wanderers Grounds,2,-18.65030609587324,-6.212942346816782
2022,2022-08-04T00:00:00Z,Valour,Cavalry,2,0,FINISHED,Princess Auto Stadium,0,-8.092312512876008,22.3002213653662
2022,2022-08-06T20:00:00Z,Forge,HFX Wanderers,1,0,FINISHED,Hamilton Stadium,0,58.056646379829616,-18.65030609587324
2022,2022-08-07T18:37:00Z,Atlético Ottawa,Edmonton,2,1,FINISHED,TD Place Stadium,0,-3.3060322952750765,-48.740166522180374
2022,2022-08-07T21:00:00Z,Valour,Inter Toronto,2,0,FINISHED,Princess Auto Stadium,0,-8.092312512876008,-6.212942346816782
2022,2022-08-13T01:00:00Z,Cavalry,Forge,2,1,FINISHED,ATCO Field,0,22.3002213653662,58.056646379829616
2022,2022-08-13T18:00:00Z,HFX Wanderers,Valour,1,0,FINISHED,Wanderers Grounds,0,-18.65030609587324,-8.092312512876008
2022,2022-08-13T21:00:00Z,Pacific,Atlético Ottawa,1,0,FINISHED,Starlight Stadium,0,7.804509356352445,-3.3060322952750765
2022,2022-08-14T20:00:00Z,Inter Toronto,Edmonton,3,2,FINISHED,York Lions Stadium,0,-6.212942346816782,-48.740166522180374
2022,2022-08-17T23:00:00Z,Atlético Ottawa,HFX Wanderers,3,2,FINISHED,TD Place Stadium,0,-3.3060322952750765,-18.65030609587324
2022,2022-08-20T17:30:00Z,HFX Wanderers,Pacific,1,0,FINISHED,Wanderers Grounds,0,-18.65030609587324,7.804509356352445
2022,2022-08-20T23:00:00Z,Forge,Inter Toronto,1,3,FINISHED,Hamilton Stadium,2,58.056646379829616,-6.212942346816782
2022,2022-08-21T18:30:00Z,Valour,Edmonton,1,1,FINISHED,Princess Auto Stadium,1,-8.092312512876008,-48.740166522180374
2022,2022-08-21T21:30:00Z,Cavalry,Atlético Ottawa,0,3,FINISHED,ATCO Field,2,22.3002213653662,-3.3060322952750765
2022,2022-08-27T19:30:00Z,Cavalry,Inter Toronto,1,0,FINISHED,ATCO Field,0,22.3002213653662,-6.212942346816782
2022,2022-08-27T22:30:00Z,Atlético Ottawa,Forge,0,0,FINISHED,TD Place Stadium,1,-3.3060322952750765,58.056646379829616
2022,2022-08-28T19:00:00Z,Valour,Pacific,1,0,FINISHED,Princess Auto Stadium,0,-8.092312512876008,7.804509356352445
2022,2022-08-28T22:00:00Z,Edmonton,HFX Wanderers,3,2,FINISHED,Clarke Field,0,-48.740166522180374,-18.65030609587324
2022,2022-09-01T00:00:00Z,Valour,Forge,1,0,FINISHED,Princess Auto Stadium,0,-8.092312512876008,58.056646379829616
2022,2022-09-02T23:00:00Z,Atlético Ottawa,Edmonton,0,0,FINISHED,TD Place Stadium,1,-3.3060322952750765,-48.740166522180374
2022,2022-09-03T21:00:00Z,Pacific,Inter Toronto,1,3,FINISHED,Starlight Stadium,2,7.804509356352445,-6.212942346816782
2022,2022-09-04T18:00:00Z,Valour,Forge,1,0,FINISHED,Princess Auto Stadium,0,-8.092312512876008,58.056646379829616
2022,2022-09-05T18:00:00Z,HFX Wanderers,Cavalry,0,0,FINISHED,Wanderers Grounds,1,-18.65030609587324,22.3002213653662
2022,2022-09-09T23:30:00Z,Inter Toronto,Edmonton,3,1,FINISHED,York Lions Stadium,0,-6.212942346816782,-48.740166522180374
2022,2022-09-10T18:00:00Z,HFX Wanderers,Valour,1,0,FINISHED,Wanderers Grounds,0,-18.65030609587324,-8.092312512876008
