Season,Date,HomeTeam,AwayTeam,HomeScore,AwayScore,Status,Venue
2025,2025-09-13T20:00:00Z,Cavalry,HFX Wanderers,3,1,FINISHED,ATCO Field
2025,2025-09-13T23:00:00Z,Pacific,Vancouver FC,1,1,FINISHED,Royal Athletic Park
2025,2025-09-14T18:00:00Z,York United,Atlético Ottawa,2,2,FINISHED,York Lions Stadium
2025,2025-09-20T19:00:00Z,HFX Wanderers,Pacific,3,0,FINISHED,Wanderers Grounds
2025,2025-09-20T22:00:00Z,Cavalry,Valour,3,0,FINISHED,ATCO Field
2025,2025-09-21T19:00:00Z,Atlético Ottawa,Forge,1,1,FINISHED,TD Place Stadium
2025,2025-09-21T22:00:00Z,Vancouver FC,York United,2,1,FINISHED,Willoughby Community Park at the Langley Events Centre
2025,2025-09-27T17:00:00Z,Atlético Ottawa,Cavalry,3,0,FINISHED,TD Place Stadium
2025,2025-09-27T20:00:00Z,Forge,Pacific,4,0,FINISHED,Hamilton Stadium
2025,2025-09-28T19:00:00Z,York United,Valour,1,0,FINISHED,York Lions Stadium
2025,2025-09-28T22:00:00Z,Vancouver FC,HFX Wanderers,3,1,FINISHED,Willoughby Community Park at the Langley Events Centre
2025,2025-10-04T18:00:00Z,HFX Wanderers,York United,1,1,FINISHED,Wanderers Grounds
2025,2025-10-04T20:30:00Z,Forge,Vancouver FC,1,1,FINISHED,Hamilton Stadium
2025,2025-10-05T19:00:00Z,Valour,Atlético Ottawa,3,3,FINISHED,Princess Auto Stadium
2025,2025-10-05T22:00:00Z,Pacific,Cavalry,3,3,FINISHED,Starlight Stadium
2025,2025-10-09T23:30:00Z,York United,Pacific,2,2,FINISHED,York Lions Stadium
2025,2025-10-11T01:30:00Z,Cavalry,Forge,1,1,FINISHED,ATCO Field
2025,2025-10-11T19:00:00Z,Valour,HFX Wanderers,0,3,FINISHED,Princess Auto Stadium
2025,2025-10-12T19:00:00Z,Atlético Ottawa,Vancouver FC,0,0,FINISHED,TD Place Stadium
2025,2025-10-18T20:00:00Z,Pacific,Valour,1,4,FINISHED,Starlight Stadium
2025,2025-10-18T20:00:00Z,Vancouver FC,Cavalry,2,2,FINISHED,Willoughby Community Park at the Langley Events Centre
2025,2025-10-18T20:00:00Z,Forge,York United,3,0,FINISHED,Hamilton Stadium
2025,2025-10-18T20:00:00Z,HFX Wanderers,Atlético Ottawa,0,1,FINISHED,Wanderers Grounds
2025,2025-10-22T22:30:00Z,HFX Wanderers,York United,2,2,FINISHED,Wanderers Grounds
2025,2025-10-26T18:00:00Z,Forge,Atlético Ottawa,1,2,FINISHED,Hamilton Stadium
2025,2025-10-26T22:00:00Z,Cavalry,York United,4,1,FINISHED,ATCO Field
2025,2025-11-02T21:00:00Z,Forge,Cavalry,0,1,FINISHED,Hamilton Stadium
2025,2025-11-09T22:20:00Z,Atlético Ottawa,Cavalry,2,1,FINISHED,TD Place Stadium
