match_id,season,date,home_team,away_team,diff_total,diff_attack,diff_defense,home_team_total,away_team_total,both_coverage_ok,side_x,home_opponent,home_team_attack,home_team_defense,home_coverage_rate,home_coverage_ok,side_y,away_opponent,away_team_attack,away_team_defense,away_coverage_rate,away_coverage_ok,HomeScore,AwayScore,home_form_pts,away_form_pts,home_form_gd,away_form_gd,diff_form_pts,diff_form_gd
2022_2022-05-07_Valour_vs_HFX_Wanderers,2022,2022-05-07 19:00:00+00:00,Valour,Wanderers,0.0,0.0,0.0,55.0,55.0,True,home,Wanderers,55.0,55.0,1.0,True,away,Valour,55.0,55.0,1.0,True,0,0,1.3333333333333333,1.5,1.3333333333333333,0.25,-0.16666666666666674,1.0833333333333333
2022_2022-05-07_Atlético_Ottawa_vs_Pacific,2022,2022-05-07 22:00:00+00:00,Atlético,Pacific,0.0,0.0,0.0,55.0,55.0,True,home,Pacific,55.0,55.0,1.0,True,away,Atlético,55.0,55.0,1.0,True,0,1,1.75,2.0,-0.75,0.2,-0.25,-0.95
2022_2022-05-14_Forge_vs_Atlético_Ottawa,2022,2022-05-14 20:00:00+00:00,Forge,Atlético,0.0,0.0,0.0,55.0,55.0,True,home,Atlético,55.0,55.0,1.0,True,away,Forge,55.0,55.0,1.0,True,1,1,1.0,1.4,0.25,-0.8,-0.3999999999999999,1.05
2022_2022-05-14_Pacific_vs_Edmonton,2022,2022-05-14 23:00:00+00:00,Pacific,Edmonton,-74263.19870000001,-74263.19870000001,-74263.19870000001,16578.5526,90841.7513,True,home,Edmonton,16578.5526,16578.5526,1.0,True,away,Pacific,90841.7513,90841.7513,1.0,True,2,1,2.0,0.4,0.2,-1.6,1.6,1.8
2022_2022-05-15_HFX_Wanderers_vs_Cavalry,2022,2022-05-15 18:00:00+00:00,Wanderers,Cavalry,0.0,0.0,0.0,55.0,55.0,True,home,Cavalry,55.0,55.0,1.0,True,away,Wanderers,55.0,55.0,1.0,True,2,2,1.4,1.4,0.2,0.4,0.0,-0.2
2022_2022-05-15_Valour_vs_York_United,2022,2022-05-15 21:00:00+00:00,Valour,York,0.0,0.0,0.0,55.0,55.0,True,home,York,55.0,55.0,1.0,True,away,Valour,55.0,55.0,1.0,True,1,0,1.25,1.6,1.0,0.4,-0.3500000000000001,0.6
2022_2022-05-20_HFX_Wanderers_vs_Forge,2022,2022-05-20 22:00:00+00:00,Wanderers,Forge,0.0,0.0,0.0,55.0,55.0,True,home,Forge,55.0,55.0,1.0,True,away,Wanderers,55.0,55.0,1.0,True,0,4,1.0,1.0,0.0,0.2,0.0,-0.2
2022_2022-05-21_Pacific_vs_York_United,2022,2022-05-21 02:00:00+00:00,Pacific,York,0.0,0.0,0.0,55.0,55.0,True,home,York,55.0,55.0,1.0,True,away,Pacific,55.0,55.0,1.0,True,0,0,2.0,1.6,0.2,0.4,0.3999999999999999,-0.2
2022_2022-05-21_Cavalry_vs_Valour,2022,2022-05-21 19:30:00+00:00,Cavalry,Valour,293.16489999999976,293.16489999999976,293.16489999999976,16716.8167,16423.6518,True,home,Valour,16716.8167,16716.8167,1.0,True,away,Cavalry,16423.6518,16423.6518,1.0,True,2,1,1.6,1.6,0.6,1.0,0.0,-0.4
2022_2022-05-22_Edmonton_vs_Atlético_Ottawa,2022,2022-05-22 20:00:00+00:00,Edmonton,Atlético,0.0,0.0,0.0,55.0,55.0,True,home,Atlético,55.0,55.0,1.0,True,away,Edmonton,55.0,55.0,1.0,True,1,2,0.2,1.0,-1.8,-1.0,-0.8,-0.8
