match_id,season,date,home_team,away_team,diff_total,diff_attack,diff_defense,home_team_total,away_team_total,both_coverage_ok,side_x,home_opponent,home_team_attack,home_team_defense,home_coverage_rate,home_coverage_ok,side_y,away_opponent,away_team_attack,away_team_defense,away_coverage_rate,away_coverage_ok
2022_2022-05-15_Valour_vs_York_United,2022,2022-05-15T21:00:00Z,Valour,York,-55.659999999999854,-55.659999999999854,-55.659999999999854,16515.51,16571.17,True,home,York,16515.51,16515.51,1.0,True,away,Valour,16571.17,16571.17,1.0,True
2022_2022-05-20_HFX_Wanderers_vs_Forge,2022,2022-05-20T22:00:00Z,Wanderers,Forge,89.65000000000146,89.65000000000146,89.65000000000146,16504.07,16414.42,True,home,Forge,16504.07,16504.07,1.0,True,away,Wanderers,16414.42,16414.42,1.0,True
2022_2022-05-21_Pacific_vs_York_United,2022,2022-05-21T02:00:00Z,Pacific,York,271.9200000000019,271.9200000000019,271.9200000000019,16764.11,16492.19,True,home,York,16764.11,16764.11,1.0,True,away,Pacific,16492.19,16492.19,1.0,True
2022_2022-05-21_Cavalry_vs_Valour,2022,2022-05-21T19:30:00Z,Cavalry,Valour,-85.36000000000058,-85.36000000000058,-85.36000000000058,16509.13,16594.49,True,home,Valour,16509.13,16509.13,1.0,True,away,Cavalry,16594.49,16594.49,1.0,True
2022_2022-05-22_Edmonton_vs_Atlético_Ottawa,2022,2022-05-22T20:00:00Z,Edmonton,Atlético,70603.12,70603.12,70603.12,87087.5,16484.38,True,home,Atlético,87087.5,87087.5,1.0,True,away,Edmonton,16484.38,16484.38,1.0,True
2022_2022-05-28_Pacific_vs_Valour,2022,2022-05-28T23:00:00Z,Pacific,Valour,238.59000000000015,238.59000000000015,238.59000000000015,16753.55,16514.96,True,home,Valour,16753.55,16753.55,1.0,True,away,Pacific,16514.96,16514.96,1.0,True
2022_2022-05-29_York_United_vs_Cavalry,2022,2022-05-29T18:00:00Z,York,Cavalry,-86.02000000000044,-86.02000000000044,-86.02000000000044,16502.75,16588.77,True,home,Cavalry,16502.75,16502.75,1.0,True,away,York,16588.77,16588.77,1.0,True
2022_2022-06-01_Edmonton_vs_Forge,2022,2022-06-01T01:00:00Z,Edmonton,Forge,68176.76,68176.76,68176.76,84680.39,16503.63,True,home,Forge,84680.39,84680.39,1.0,True,away,Edmonton,16503.63,16503.63,1.0,True
2022_2022-06-02_Valour_vs_Atlético_Ottawa,2022,2022-06-02T00:00:00Z,Valour,Atlético,-13.860000000000582,-13.860000000000582,-13.860000000000582,16524.75,16538.61,True,home,Atlético,16524.75,16524.75,1.0,True,away,Valour,16538.61,16538.61,1.0,True
2022_2022-06-04_HFX_Wanderers_vs_York_United,2022,2022-06-04T18:00:00Z,Wanderers,York,-2.529999999998836,-2.529999999998836,-2.529999999998836,16414.86,16417.39,True,home,York,16414.86,16414.86,1.0,True,away,Wanderers,16417.39,16417.39,1.0,True
2022_2022-06-05_Atlético_Ottawa_vs_Pacific,2022,2022-06-05T17:00:00Z,Atlético,Pacific,-118.13999999999942,-118.13999999999942,-118.13999999999942,16625.62,16743.76,True,home,Pacific,16625.62,16625.62,1.0,True,away,Atlético,16743.76,16743.76,1.0,True
2022_2022-06-05_Valour_vs_Edmonton,2022,2022-06-05T20:00:00Z,Valour,Edmonton,-67907.84,-67907.84,-67907.84,16437.85,84345.69,True,home,Edmonton,16437.85,16437.85,1.0,True,away,Valour,84345.69,84345.69,1.0,True
2022_2022-06-11_Cavalry_vs_HFX_Wanderers,2022,2022-06-11T19:30:00Z,Cavalry,Wanderers,181.5,181.5,181.5,16674.13,16492.63,True,home,Wanderers,16674.13,16674.13,1.0,True,away,Cavalry,16492.63,16492.63,1.0,True
2022_2022-06-12_Forge_vs_Pacific,2022,2022-06-12T20:00:00Z,Forge,Pacific,-111.97999999999956,-111.97999999999956,-111.97999999999956,16551.37,16663.35,True,home,Pacific,16551.37,16551.37,1.0,True,away,Forge,16663.35,16663.35,1.0,True
2022_2022-06-14_Atlético_Ottawa_vs_York_United,2022,2022-06-14T23:00:00Z,Atlético,York,366.29999999999745,366.29999999999745,366.29999999999745,16705.92,16339.62,True,home,York,16705.92,16705.92,1.0,True,away,Atlético,16339.62,16339.62,1.0,True
2022_2022-06-15_Edmonton_vs_HFX_Wanderers,2022,2022-06-15T02:00:00Z,Edmonton,Wanderers,68134.92000000001,68134.92000000001,68134.92000000001,84553.74,16418.82,True,home,Wanderers,84553.74,84553.74,1.0,True,away,Edmonton,16418.82,16418.82,1.0,True
