match_id,fatigue_home,fatigue_away,travel_km_away,tz_change_away,weather_temp,weather_rain_prob,avg_goals_home,avg_goals_away,rain_impact_home,rain_impact_away
2025-10-04_Wanderers_vs_York,4.7011,1.6354,1270.8,1,10.0,0.4,1.8,1.4,0.7200000000000001,0.5599999999999999
2025-10-04_Forge_vs_Vancouver,0.0,3.6575,3315.1,3,13.0,0.25,1.6,1.8,0.4,0.45
2025-10-05_Valour_vs_Atlético,1.248,1.3376,1675.3,-1,8.0,0.2,1.6,2.2,0.32000000000000006,0.44000000000000006
2025-10-05_Pacific_vs_Cavalry,3.1921,3.2941,3588.1,-3,12.0,0.45,0.4,2.2,0.18000000000000002,0.9900000000000001
2025-10-09_York_vs_Pacific,1.6354,4.6917,3383.5,3,13.0,0.25,1.6,0.8,0.4,0.2
2025-10-11_Cavalry_vs_Forge,1.3643,2.3513,2702.6,-2,9.0,0.15,2.0,1.6,0.3,0.24
2025-10-11_Valour_vs_Wanderers,0.0,2.2877,2575.3,-2,8.0,0.2,2.0,1.2,0.4,0.24
2025-10-12_Atlético_vs_Vancouver,1.3376,0.2035,407.0,0,13.0,0.25,2.2,1.8,0.55,0.45
2025-10-18_Pacific_vs_Valour,3.1917,1.9571,1914.3,-2,12.0,0.45,1.2,1.0,0.54,0.45
2025-10-18_Vancouver_vs_Cavalry,3.2558,0.8207,641.4,-1,12.0,0.45,1.4,2.0,0.63,0.9
2025-10-18_Forge_vs_York,2.3513,0.0318,63.7,0,13.0,0.25,1.6,1.4,0.4,0.35
2025-10-18_Wanderers_vs_Atlético,2.2877,0.9769,953.8,1,10.0,0.4,1.8,1.8,0.7200000000000001,0.7200000000000001
2025-10-22_Wanderers_vs_York,1.5,2.6538,1307.6,1,10.0,0.4,1.6,1.0,0.6400000000000001,0.4
2025-10-26_Forge_vs_Atlético,0.0,1.1538,1307.6,-1,13.0,0.25,2.0,1.6,0.5,0.4
2025-10-26_Cavalry_vs_York,0.8207,6.3813,3762.5,-3,9.0,0.15,1.8,1.2,0.27,0.18
2025-11-02_Forge_vs_Cavalry,0.0,2.3513,2702.6,2,13.0,0.25,2.0,2.0,0.5,0.5
2025-11-09_Atlético_vs_Cavalry,0.2035,0.2035,407.0,0,13.0,0.25,1.8,2.2,0.45,0.55
