match_id,season,date,team,side,opponent,team_attack,team_defense,team_total,coverage_rate,coverage_ok
2022_2022-05-14_Forge_vs_Atlético_Ottawa,2022,2022-05-14T20:00:00Z,Forge,home,Atlético,55.0,55.0,55.0,1.0,True
2022_2022-05-14_Pacific_vs_Edmonton,2022,2022-05-14T23:00:00Z,Edmonton,away,Pacific,90841.7513,90841.7513,90841.7513,1.0,True
2022_2022-05-14_Pacific_vs_Edmonton,2022,2022-05-14T23:00:00Z,Pacific,home,Edmonton,16578.5526,16578.5526,16578.5526,1.0,True
2022_2022-05-15_HFX_Wanderers_vs_Cavalry,2022,2022-05-15T18:00:00Z,Cavalry,away,Wanderers,55.0,55.0,55.0,1.0,True
2022_2022-05-15_HFX_Wanderers_vs_Cavalry,2022,2022-05-15T18:00:00Z,Wanderers,home,Cavalry,55.0,55.0,55.0,1.0,True
2022_2022-05-15_Valour_vs_York_United,2022,2022-05-15T21:00:00Z,Valour,home,York,55.0,55.0,55.0,1.0,True
2022_2022-05-15_Valour_vs_York_United,2022,2022-05-15T21:00:00Z,York,away,Valour,55.0,55.0,55.0,1.0,True
2022_2022-05-20_HFX_Wanderers_vs_Forge,2022,2022-05-20T22:00:00Z,Forge,away,Wanderers,55.0,55.0,55.0,1.0,True
2022_2022-05-20_HFX_Wanderers_vs_Forge,2022,2022-05-20T22:00:00Z,Wanderers,home,Forge,55.0,55.0,55.0,1.0,True
2022_2022-05-21_Pacific_vs_York_United,2022,2022-05-21T02:00:00Z,Pacific,home,York,55.0,55.0,55.0,1.0,True
2022_2022-05-21_Pacific_vs_York_United,2022,2022-05-21T02:00:00Z,York,away,Pacific,55.0,55.0,55.0,1.0,True
2022_2022-05-21_Cavalry_vs_Valour,2022,2022-05-21T19:30:00Z,Cavalry,home,Valour,16716.8167,16716.8167,16716.8167,1.0,True
2022_2022-05-21_Cavalry_vs_Valour,2022,2022-05-21T19:30:00Z,Valour,away,Cavalry,16423.6518,16423.6518,16423.6518,1.0,True
2022_2022-05-22_Edmonton_vs_Atlético_Ottawa,2022,2022-05-22T20:00:00Z,Atlético,away,Edmonton,55.0,55.0,55.0,1.0,True
2022_2022-05-22_Edmonton_vs_Atlético_Ottawa,2022,2022-05-22T20:00:00Z,Edmonton,home,Atlético,55.0,55.0,55.0,1.0,True
2022_2022-05-28_Pacific_vs_Valour,2022,2022-05-28T23:00:00Z,Pacific,home,Valour,16638.3063,16638.3063,16638.3063,1.0,True
2022_2022-05-28_Pacific_vs_Valour,2022,2022-05-28T23:00:00Z,Valour,away,Pacific,16337.5338,16337.5338,16337.5338,1.0,True
2022_2022-05-29_York_United_vs_Cavalry,2022,2022-05-29T18:00:00Z,Cavalry,away,York,55.0,55.0,55.0,1.0,True
2022_2022-05-29_York_United_vs_Cavalry,2022,2022-05-29T18:00:00Z,York,home,Cavalry,55.0,55.0,55.0,1.0,True
2022_2022-06-01_Edmonton_vs_Forge,2022,2022-06-01T01:00:00Z,Edmonton,home,Forge,88044.1923,88044.1923,88044.1923,1.0,True
2022_2022-06-01_Edmonton_vs_Forge,2022,2022-06-01T01:00:00Z,Forge,away,Edmonton,16487.2715,16487.2715,16487.2715,1.0,True
