Year,Team,Games played,Total points,Total wins,Total losses,Total draws,Goals,Goals against,Accuracy (%),Penalty kick taken,Penalty conceded,Fouls committed,Fouls suffered,Total offside,Yellow cards,Red cards,corners,Total Distance Covered,Average Distance Covered,Total Distance Covered Walking,Average Distance Covered Walking,Total Distance Covered Jogging,Average Distance Covered Jogging,Total Distance Covered Low Intensity Running,Average Distance Covered Low Intensity Running,Total Distance Covered High Intensity Running,Average Distance Covered High Intensity Running,Total Distance Covered Sprinting,Average Distance Covered Sprinting,Total Successful Final Third Pass,Total Sub Goals,Total Saves,Average Possession,Average Possession Time,Cross Complete Percentage,Tackles Won Percentage,Aerial Duels Won Percentage,Duels Won Percentage,Defender Goals,Midfielder Goals,Forward Goals,Clearances Off the Line,Possession Percentage,Successful Launches,Successful Lay-offs,Unsuccessful Short Passes,Shots On Conceded Inside Box,Corners Taken (incl short corners),Goals from Outside Box,Recoveries,GK Successful Distribution,Open Play Passes,Tackle Success,Successful Open Play Passes,Goal Conversion,GK Unsuccessful Distribution,Points Gained from Losing Positions,Total Fouls Won,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Launches,Foul Attempted Tackle,Last Man Tackle,Successful Short Passes,Penalties Taken,Unsuccessful Passes Opposition Half,Total Passes,Handballs conceded,Total Clearances,Duels won,Crossing Accuracy,Successful Passes Opposition Half,Goals Conceded,Duels lost,Ground Duels won,Passing Accuracy,Left Foot Goals,Total Shots,Goals Conceded Inside Box,Ground Duels lost,Hit Woodwork,Ground Duels,Attempts from Set Pieces,Foul Won Penalty,Penalty Goals,Shots Off Target (inc woodwork),Headed Goals,PutThrough/Blocked Distribution,Shots On Target ( inc goals ),Goals from Inside Box,Total Red Cards,Total Fouls Conceded,Blocks,Goal Assists,Blocked Shots,Times Tackled,Shooting Accuracy,Successful Crosses open play,Throw Ins to Own Player,Games Played,Goals Conceded Outside Box,Aerial Duels won,Duels,Unsuccessful Corners into Box,Aerial Duels lost,Total Successful Passes ( Excl Crosses & Corners ) ,Unsuccessful Dribbles,Aerial Duels,Own Goals Conceded,Tackles Lost,Unsuccessful Passes Own Half,Own Goals Accrued,Successful Passes Own Half,Unsuccessful lay-offs,Unsuccessful Long Passes,Corners Won,Catches,Yellow Cards,Tackles Won,Straight Red Cards,Successful Corners into Box,Successful Long Passes,PutThrough/Blocked Distribution Won,Successful Crosses & Corners,Shots On Conceded Outside Box,Points Dropped from Winning Positions,Passing % Opp Half,Throw Ins to Opposition Player,Total Losses Of Possession,Right Foot Goals,Key Passes (Attempt Assists),Interceptions,Clean Sheets,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Shots Conceded,Drops,Offsides,Successful Dribbles,Home Goals,Away Goals,Set Pieces Goals,Other Goals,Penalties Conceded,Penalty Goals Conceded,Red Card - 2nd Yellow,Penalties Saved
2022,Forge,31,47,14,9,5,52,27,85,5,0,352,434,67,63,2,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,46,86,1726,73,181,6,1819,398,14366,60.64,12044,21.31,6,11,434,427,318,200,183,2.0,12117,5,2187,15191,14,343,1455,18.67,6587,27,1467,1207,84.36,17,244,24,1201,12,2408,15,5,4,128,9,488,116,46,2,352,53,34,86,682,47.54,62,678,31,3,248,2922,84,266,12815,355,514,2.0,196,616,3.0,6326,8,650,181,24,63,302,2,32,698,180,98,27,6,78.66,95,4214,23,203,235,11,2376,273,2,67,279,26,26,,,,,,
2022,Cavalry,30,47,14,9,5,41,36,82,3,3,402,359,65,79,4,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,90,96,1382,74,175,8,1672,349,11942,60.04,9751,14.34,51,3,359,433,297,301,202,,9390,3,2164,12648,20,385,1380,26.24,4460,36,1424,1020,81.56,15,286,29,1093,10,2113,24,3,2,152,5,404,134,33,4,402,69,25,74,501,46.85,76,559,30,7,360,2804,93,331,10316,232,691,1.0,189,601,3.0,6010,16,950,175,19,79,284,2,57,926,185,154,32,11,71.33,146,3944,15,230,274,10,2332,321,1,65,189,22,19,3.0,3.0,3.0,3.0,2.0,
2022,Atlético Ottawa,31,49,13,5,10,39,32,80,6,6,377,375,51,73,2,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,96,53,1324,68,127,9,1719,355,10265,56.77,8221,16.88,100,3,375,300,228,302,199,2.0,8078,6,1949,11100,21,586,1502,26.11,3882,32,1486,1182,79.69,10,231,26,1135,5,2317,19,6,6,123,1,429,108,30,2,377,101,25,89,527,46.75,60,436,31,6,320,2988,49,351,8846,277,671,,249,605,1.0,5070,11,930,127,28,73,327,1,37,768,205,106,48,8,69.6,163,3811,27,205,282,11,2254,378,5,51,235,15,24,3.0,,6.0,6.0,1.0,
2022,Pacific,30,46,13,8,7,37,36,82,4,4,429,331,40,67,2,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,53,80,83,1482,86,111,5,1744,294,12965,63.41,10659,16.82,79,10,331,370,267,394,230,,10307,4,2203,13654,16,504,1503,21.11,4681,36,1486,1143,81.79,9,220,28,1167,4,2310,22,4,3,105,10,431,115,32,2,429,77,23,80,493,52.27,61,518,30,8,360,2989,71,319,11167,221,679,1.0,217,654,2.0,6585,9,1005,111,25,67,376,2,27,860,220,99,32,5,71.43,117,4006,16,196,322,9,2487,326,6,40,221,22,15,1.0,,4.0,4.0,,
2022,Valour,28,37,10,11,7,36,34,80,4,4,368,323,40,70,7,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,52,78,87,1410,73,132,4,1695,263,11050,61.21,8883,14.46,99,1,323,362,254,328,198,3.0,8445,4,2096,11709,11,472,1421,22.81,4281,34,1429,1095,79.85,9,249,27,1100,3,2195,10,4,4,135,7,404,114,32,7,368,75,22,80,502,45.78,48,589,28,7,326,2850,68,329,9350,252,655,2.0,211,625,1.0,5176,16,949,132,16,70,333,2,49,905,184,107,37,22,70.65,124,3887,19,207,300,9,2359,306,2,40,232,15,21,,,7.0,4.0,5.0,3.0
2022,Edmonton,28,20,4,16,8,31,51,76,5,8,320,334,49,52,3,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,104,55,1279,107,114,7,1636,289,8505,59.14,6491,14.49,129,7,334,301,202,303,165,2.0,6126,5,1949,9239,13,422,1333,24.75,3332,51,1394,1090,75.33,6,214,46,1073,6,2163,32,5,4,117,4,392,97,24,3,320,72,19,57,539,45.33,62,514,28,5,243,2727,75,321,6960,259,564,5.0,219,631,1.0,3727,13,1000,114,18,52,317,1,30,834,224,99,28,16,66.24,118,3802,19,163,322,4,2279,327,7,49,222,20,11,3.0,1.0,9.0,8.0,2.0,1.0
2022,York United,28,34,9,12,7,31,37,81,3,7,378,351,60,64,5,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48,77,43,1316,72,122,4,1708,325,10322,60.25,8344,12.3,81,11,351,384,281,232,191,,8060,3,1965,11014,18,412,1448,25.29,4083,37,1467,1157,80.54,6,252,34,1194,9,2351,12,3,2,143,6,380,109,27,5,378,75,23,75,559,43.25,76,495,28,3,291,2915,67,273,8871,287,564,1.0,219,562,,4918,11,827,122,26,64,332,3,44,811,184,130,46,5,71.43,114,3754,19,218,269,7,2143,304,3,60,261,17,14,,,8.0,7.0,2.0,1.0
2022,HFX Wanderers,28,29,8,15,5,24,38,81,10,3,355,325,57,56,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51,75,81,1538,69,110,2,1703,343,11376,59.45,9148,10.17,64,8,325,320,227,251,177,,8920,10,1948,12050,23,444,1441,23.44,4361,38,1333,1106,80.37,12,236,32,1040,11,2146,9,10,10,137,2,430,99,22,3,355,75,8,61,518,41.95,47,567,28,6,335,2774,54,293,9685,236,628,,221,737,1.0,5422,11,827,110,12,56,324,2,36,765,188,98,32,2,72.36,74,3876,9,212,290,9,2365,299,1,57,238,13,11,1.0,,3.0,3.0,1.0,
