Season,Date,Hometeam,Awayteam,Homescore,Awayscore,Status,Venue
2022,2022-07-30T19:00:00Z,Valour,Pacific,1,2,FINISHED,Princess Auto Stadium
2022,2022-07-30T22:00:00Z,Cavalry,Edmonton,2,0,FINISHED,ATCO Field
2022,2022-07-31T23:00:00Z,Atlético Ottawa,Forge,0,4,FINISHED,TD Place Stadium
2022,2022-08-01T18:00:00Z,HFX Wanderers,York United,2,4,FINISHED,Wanderers Grounds
2022,2022-08-04T00:00:00Z,Valour,Cavalry,2,0,FINISHED,Princess Auto Stadium
2022,2022-08-06T20:00:00Z,Forge,HFX Wanderers,1,0,FINISHED,Hamilton Stadium
2022,2022-08-07T18:37:00Z,Atlético Ottawa,Edmonton,2,1,FINISHED,TD Place Stadium
2022,2022-08-07T21:00:00Z,Valour,York United,2,0,FINISHED,Princess Auto Stadium
2022,2022-08-13T01:00:00Z,Cavalry,Forge,2,1,FINISHED,ATCO Field
2022,2022-08-13T18:00:00Z,HFX Wanderers,Valour,1,0,FINISHED,Wanderers Grounds
2022,2022-08-13T21:00:00Z,Pacific,Atlético Ottawa,1,0,FINISHED,Starlight Stadium
2022,2022-08-14T20:00:00Z,York United,Edmonton,3,2,FINISHED,York Lions Stadium
2022,2022-08-17T23:00:00Z,Atlético Ottawa,HFX Wanderers,3,2,FINISHED,TD Place Stadium
2022,2022-08-20T17:30:00Z,HFX Wanderers,Pacific,1,0,FINISHED,Wanderers Grounds
2022,2022-08-20T23:00:00Z,Forge,York United,1,3,FINISHED,Hamilton Stadium
2022,2022-08-21T18:30:00Z,Valour,Edmonton,1,1,FINISHED,Princess Auto Stadium
2022,2022-08-21T21:30:00Z,Cavalry,Atlético Ottawa,0,3,FINISHED,ATCO Field
2022,2022-08-27T19:30:00Z,Cavalry,York United,1,0,FINISHED,ATCO Field
2022,2022-08-27T22:30:00Z,Atlético Ottawa,Forge,0,0,FINISHED,TD Place Stadium
2022,2022-08-28T19:00:00Z,Valour,Pacific,1,0,FINISHED,Princess Auto Stadium
2022,2022-08-28T22:00:00Z,Edmonton,HFX Wanderers,3,2,FINISHED,Clarke Field
2022,2022-09-01T00:00:00Z,Valour,Forge,1,0,FINISHED,Princess Auto Stadium
2022,2022-09-02T23:00:00Z,Atlético Ottawa,Edmonton,0,0,FINISHED,TD Place Stadium
2022,2022-09-03T21:00:00Z,Pacific,York United,1,3,FINISHED,Starlight Stadium
2022,2022-09-04T18:00:00Z,Valour,Forge,1,0,FINISHED,Princess Auto Stadium
2022,2022-09-05T18:00:00Z,HFX Wanderers,Cavalry,0,0,FINISHED,Wanderers Grounds
2022,2022-09-09T23:30:00Z,York United,Edmonton,3,1,FINISHED,York Lions Stadium
2022,2022-09-10T18:00:00Z,HFX Wanderers,Valour,1,0,FINISHED,Wanderers Grounds
2022,2022-09-10T21:00:00Z,Forge,Cavalry,2,1,FINISHED,Hamilton Stadium
2022,2022-09-11T20:00:00Z,Pacific,Atlético Ottawa,1,1,FINISHED,Starlight Stadium
2022,2022-09-16T23:30:00Z,York United,HFX Wanderers,0,0,FINISHED,York Lions Stadium
2022,2022-09-17T20:00:00Z,Edmonton,Cavalry,0,1,FINISHED,Clarke Field
2022,2022-09-18T20:00:00Z,Valour,Atlético Ottawa,1,1,FINISHED,Princess Auto Stadium
2022,2022-09-19T00:00:00Z,Pacific,Forge,1,1,FINISHED,Starlight Stadium
2022,2022-09-23T23:30:00Z,York United,Valour,3,1,FINISHED,York Lions Stadium
2022,2022-09-24T21:30:00Z,Cavalry,Atlético Ottawa,1,3,FINISHED,ATCO Field
2022,2022-09-25T21:00:00Z,Edmonton,Forge,1,1,FINISHED,Clarke Field
2022,2022-09-27T22:00:00Z,HFX Wanderers,Pacific,0,2,FINISHED,Wanderers Grounds
2022,2022-10-01T02:00:00Z,Pacific,Edmonton,1,0,FINISHED,Starlight Stadium
2022,2022-10-01T18:00:00Z,HFX Wanderers,Atlético Ottawa,1,2,FINISHED,Wanderers Grounds
2022,2022-10-01T21:00:00Z,Forge,York United,2,0,FINISHED,Hamilton Stadium
2022,2022-10-02T19:30:00Z,Cavalry,Valour,2,1,FINISHED,ATCO Field
2022,2022-10-05T23:00:00Z,Forge,Pacific,0,1,FINISHED,Hamilton Stadium
2022,2022-10-08T19:00:00Z,Edmonton,Valour,3,1,FINISHED,Clarke Field
2022,2022-10-08T22:00:00Z,Cavalry,Pacific,1,0,FINISHED,ATCO Field
2022,2022-10-09T17:00:00Z,Forge,HFX Wanderers,1,0,FINISHED,Hamilton Stadium
2022,2022-10-09T22:00:00Z,Atlético Ottawa,York United,2,2,FINISHED,TD Place Stadium
2022,2022-10-15T20:00:00Z,Cavalry,Forge,1,1,FINISHED,ATCO Field
2022,2022-10-15T23:00:00Z,Pacific,Atlético Ottawa,0,2,FINISHED,Starlight Stadium
2022,2022-10-23T18:00:00Z,Atlético Ottawa,Pacific,1,1,FINISHED,TD Place Stadium
2022,2022-10-23T21:00:00Z,Forge,Cavalry,2,1,FINISHED,Hamilton Stadium
2022,2022-10-30T22:00:00Z,Atlético Ottawa,Forge,0,2,FINISHED,TD Place Stadium
2023,2023-04-15T17:00:00Z,Atlético Ottawa,HFX Wanderers,1,1,FINISHED,TD Place Stadium
2023,2023-04-15T20:00:00Z,Forge,Cavalry,2,2,FINISHED,Hamilton Stadium
2023,2023-04-15T23:00:00Z,Pacific,Vancouver FC,1,0,FINISHED,Starlight Stadium
2023,2023-04-16T18:00:00Z,York United,Valour,0,2,FINISHED,York Lions Stadium
2023,2023-04-22T17:00:00Z,York United,Vancouver FC,1,2,FINISHED,York Lions Stadium
2023,2023-04-22T20:00:00Z,Forge,HFX Wanderers,1,1,FINISHED,Hamilton Stadium
2023,2023-04-22T23:00:00Z,Valour,Atlético Ottawa,1,1,FINISHED,Princess Auto Stadium
2023,2023-04-23T20:00:00Z,Pacific,Cavalry,1,1,FINISHED,Starlight Stadium
2023,2023-04-29T18:00:00Z,HFX Wanderers,Vancouver FC,1,1,FINISHED,Wanderers Grounds
2023,2023-04-29T21:00:00Z,Atlético Ottawa,York United,0,1,FINISHED,TD Place Stadium
2023,2023-04-30T21:00:00Z,Cavalry,Valour,1,1,FINISHED,ATCO Field
2023,2023-05-01T00:00:00Z,Pacific,Forge,0,1,FINISHED,Starlight Stadium
2023,2023-05-05T23:30:00Z,York United,Forge,0,1,FINISHED,York Lions Stadium
2023,2023-05-06T20:00:00Z,Valour,HFX Wanderers,0,0,FINISHED,Princess Auto Stadium
2023,2023-05-06T23:00:00Z,Atlético Ottawa,Pacific,1,4,FINISHED,TD Place Stadium
2023,2023-05-07T23:00:00Z,Vancouver FC,Cavalry,1,1,FINISHED,Willoughby Community Park at the Langley Events Centre
2023,2023-05-13T20:00:00Z,Forge,Valour,3,2,FINISHED,Hamilton Stadium
2023,2023-05-13T23:00:00Z,Cavalry,HFX Wanderers,2,2,FINISHED,ATCO Field
2023,2023-05-14T01:30:00Z,Vancouver FC,Atlético Ottawa,0,5,FINISHED,Willoughby Community Park at the Langley Events Centre
2023,2023-05-14T22:00:00Z,Pacific,York United,4,1,FINISHED,Starlight Stadium
2023,2023-05-19T23:00:00Z,Forge,Vancouver FC,0,0,FINISHED,Hamilton Stadium
2023,2023-05-20T18:00:00Z,HFX Wanderers,York United,0,3,FINISHED,Wanderers Grounds
2023,2023-05-20T21:00:00Z,Valour,Pacific,1,1,FINISHED,Princess Auto Stadium
2023,2023-05-21T23:00:00Z,Cavalry,Atlético Ottawa,2,0,FINISHED,ATCO Field
