playerId,playerName,team,position,season,role,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,AerialsWonPercentage,Pass%,GoalsConceded,GAA,Corners,GoalsFreeKick,HitWoodwork,PenaltyAttempts,PenaltiesSuccessful,YellowRedCards,Xg,Xgefficiency,TacklesWonPercentage,DuelsWonPercentage,AerialDuelsWonPercentage,CrossCompletePercentage,TotalDistanceCovered,AverageDistanceCovered,TotalDistanceCoveredWalking,AverageDistanceCoveredWalking,TotalDistanceCoveredJogging,AverageDistanceCoveredJogging,TotalDistanceCoveredLowIntensityRunning,AverageDistanceCoveredLowIntensityRunning,TotalDistanceCoveredSprinting,AverageDistanceCoveredSprinting,TotalDistanceCoveredHighIntensityRunning,AverageDistanceCoveredHighIntensityRunning,Sprints,SavesMade,TimePlayed,GkSuccessfulDistribution,PenaltiesConceded,SuccessfulLaunches,OpenPlayPasses,CornersWon,SuccessfulPassesOppositionHalf,UnsuccessfulLaunches,YellowCards,UnsuccessfulLongPasses,GoalsConcededOutsideBox,TotalLossesOfPossession,SuccessfulPassesOwnHalf,PenaltyGoalsConceded,Punches,TotalPasses,TotalFoulsConceded,SuccessfulShortPasses,GoalsConcededInsideBox,TotalUnsuccessfulPasses(ExclCrosses&Corners),RightsidePasses,UnsuccessfulPassesOppositionHalf,GoalkeeperSmother,Recoveries,Starts,Drops,UnsuccessfulPassesOwnHalf,Touches,Appearances,FoulAttemptedTackle,GroundDuels,ForwardPasses,Index,DuelsWon,SuccessfulLongPasses,TotalFoulsWon,SavesMadeFromOutsideBox,SavesMade-Parried,Duels,TotalClearances,SavesMadeFromInsideBox,PenaltiesFaced,GamesPlayed,GkUnsuccessfulDistribution,GroundDuelsLost,LeftsidePasses,SuccessfulOpenPlayPasses,TotalSuccessfulPasses(ExclCrosses&Corners),CleanSheets,DuelsLost,GroundDuelsWon,WinningGoal,AerialDuelsWon,AerialDuels,HandballsConceded,UnsuccessfulShortPasses,HomeGoals,AwayGoals,AerialDuelsLost,TotalTackles,PenaltiesSaved,Catches,SavesFromPenalty,TacklesLost,SuccessfulDribbles,CrossesNotClaimed,KeyPasses(attemptAssists),SavesMade-Caught,Putthrough/blockedDistribution,Offsides,ThrowInsToOwnPlayer,TimesTackled,BackwardPasses,Putthrough/blockedDistributionWon,ShotsOffTarget(incWoodwork),SubstituteOff,TotalShots,ThrowInsToOppositionPlayer,Blocks,TotalTouchesInOppositionBox,UnsuccessfulDribbles,TacklesWon,Interceptions,SetPiecesGoals,UnsuccessfulCornersIntoBox,CornersTaken(inclShortCorners),UnsuccessfulCrossesOpenPlay,ShotsOnTarget(IncGoals),SuccessfulCornersIntoBox,AttemptsFromSetPieces,SubstituteOn,Goals,SuccessfulCrosses&Corners,UnsuccessfulCrosses&Corners,GoalsFromOutsideBox,LeftFootGoals,SuccessfulCrossesOpenPlay,RightFootGoals,GoalsFromInsideBox,PenaltiesTaken,GoalAssists,PenaltyGoals,ThroughBalls,OwnGoalScored,BlockedShots,HeadedGoals,SuccessfulLay-offs,TotalRedCards,RedCards-2ndYellow,ClearancesOffTheLine,FoulWonPenalty,Assists(intentional),LastManTackle,StraightRedCards,UnsuccessfulLay-offs,SecondGoalAssists
cpl::Football_Player::1ece129a4fee46d18322a9312200459f,A. Ricci,Vancouver FC,Forward,2020,forward,6,365,0,0,8,0,5,0,5,9,9,1,3,0,0,59.0,4,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,365.0,,,,49.0,6.0,27.0,,3.0,,1.0,52.0,6.0,,,53.0,9.0,29.0,3.0,22.0,16.0,23.0,,8.0,4.0,,2.0,126.0,6.0,8.0,44.0,17.0,10.0,20.0,2.0,9.0,,,50.0,,,,6.0,,24.0,11.0,27.0,31.0,,30.0,20.0,0.0,,6.0,,22.0,,,6.0,6.0,,,,1.0,5.0,,3.0,,3.0,1.0,,12.0,9.0,3.0,3.0,3.0,8.0,,1.0,29.0,8.0,5.0,,,,,3.0,5.0,,,2.0,,2.0,3.0,,,2.0,,,,,,,,1.0,,3.0,,,,2.0,,,,,
cpl::Football_Player::9577790c0cf54495843d303127992c4d,S. Hundal,Valour,Forward,2020,forward,6,232,0,2,4,0,4,2,0,7,0,3,1,0,0,77.0,4,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,232.0,,,,29.0,2.0,12.0,,1.0,2.0,,27.0,14.0,1.0,,34.0,7.0,25.0,4.0,8.0,5.0,10.0,,7.0,2.0,,,66.0,6.0,5.0,19.0,6.0,10.0,4.0,1.0,,,,29.0,,,,6.0,,15.0,5.0,21.0,26.0,,25.0,4.0,0.0,,10.0,,6.0,,,10.0,1.0,,,,1.0,3.0,,2.0,,3.0,3.0,,6.0,18.0,1.0,,1.0,4.0,,1.0,8.0,2.0,,1.0,,,,2.0,4.0,,,4.0,,,2.0,,,,,,,2.0,,,,,,1.0,,,,,1.0,,,,
cpl::Football_Player::b65c33938a67445fa2637462ffcf71e2,P. Sabak,Forge,Forward,2020,forward,11,752,2,2,11,0,3,2,4,14,21,1,1,0,33,78.0,6,0.72,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,752.0,,,2.0,326.0,6.0,163.0,8.0,1.0,19.0,1.0,107.0,97.0,1.0,,336.0,14.0,241.0,5.0,77.0,78.0,68.0,,49.0,8.0,,17.0,449.0,11.0,6.0,78.0,134.0,10.0,44.0,18.0,21.0,,,87.0,4.0,,,11.0,,37.0,67.0,250.0,259.0,1.0,43.0,41.0,0.0,3.0,9.0,1.0,58.0,0.0,2.0,6.0,8.0,,,,4.0,13.0,,10.0,,18.0,1.0,1.0,12.0,57.0,10.0,8.0,6.0,11.0,,1.0,18.0,6.0,4.0,6.0,,1.0,6.0,7.0,3.0,1.0,1.0,3.0,2.0,1.0,8.0,,,,2.0,2.0,2.0,2.0,2.0,1.0,,2.0,,4.0,,,,,,,,,
cpl::Football_Player::636928fc1d194bd798a9ac73f086a9ba,S. Antwi,Valour,Forward,2020,forward,4,80,0,0,1,0,0,0,3,3,1,0,0,0,0,75.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,80.0,,,,24.0,,11.0,,,,,16.0,7.0,,,24.0,3.0,18.0,,6.0,9.0,5.0,,5.0,1.0,,1.0,44.0,4.0,2.0,17.0,3.0,10.0,5.0,,1.0,,,18.0,,,,4.0,,12.0,1.0,18.0,18.0,,13.0,5.0,0.0,,1.0,,6.0,,,1.0,4.0,,,,1.0,,,,,2.0,,,4.0,11.0,1.0,1.0,1.0,1.0,,,5.0,2.0,3.0,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::52ee822ec2ea43bc844f27d96e16334b,Víctor Blasco,Pacific,Forward,2020,forward,10,644,2,2,11,0,3,2,11,12,14,3,2,0,30,75.0,7,0.98,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,644.0,,,1.0,233.0,10.0,136.0,1.0,2.0,8.0,,147.0,56.0,4.0,,242.0,12.0,175.0,7.0,61.0,114.0,87.0,,46.0,8.0,,4.0,441.0,10.0,8.0,94.0,44.0,10.0,60.0,6.0,14.0,,,107.0,3.0,,,10.0,,38.0,14.0,175.0,181.0,1.0,47.0,56.0,0.0,4.0,13.0,,53.0,,,9.0,16.0,,,,5.0,26.0,,13.0,,16.0,3.0,4.0,21.0,70.0,4.0,8.0,5.0,11.0,,,31.0,10.0,11.0,4.0,,12.0,23.0,12.0,3.0,8.0,2.0,2.0,2.0,11.0,30.0,,,3.0,2.0,2.0,,2.0,,,,7.0,,6.0,,,,,2.0,,,,
cpl::Football_Player::54bd7a3f34314464b660277f9eadf394,Gabriel Vasconcelos,York,Forward,2020,forward,2,87,0,0,1,0,0,0,0,1,0,1,0,0,0,79.0,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,87.0,,,,18.0,,11.0,,,,1.0,8.0,4.0,,,19.0,1.0,15.0,2.0,4.0,3.0,4.0,,2.0,1.0,,,28.0,2.0,,4.0,8.0,10.0,1.0,,,,,4.0,,,,2.0,,3.0,2.0,14.0,15.0,,3.0,1.0,0.0,,,,4.0,,,,1.0,,,,1.0,,,,,,1.0,,2.0,6.0,,1.0,1.0,1.0,,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::4feb899db58341fb9d242a518bac60ad,K. Thomas,Forge,Forward,2020,forward,9,283,0,1,3,0,1,1,11,11,7,3,1,0,20,74.0,2,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,283.0,,,,64.0,2.0,34.0,,1.0,,,56.0,13.0,1.0,,64.0,11.0,46.0,2.0,17.0,15.0,22.0,,27.0,1.0,,5.0,151.0,9.0,9.0,69.0,17.0,10.0,32.0,1.0,7.0,,,74.0,,,,9.0,,38.0,17.0,47.0,47.0,,42.0,31.0,0.0,1.0,5.0,,17.0,0.0,0.0,4.0,18.0,,,,7.0,6.0,,2.0,,11.0,3.0,,18.0,15.0,6.0,2.0,2.0,3.0,,,14.0,10.0,11.0,3.0,,,,10.0,1.0,,,8.0,,,10.0,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,
cpl::Football_Player::5cfbd430bf3149adb654cadb7f68b7c2,L. Wright,TSS Rovers,Forward,2020,forward,4,128,1,0,3,0,1,0,2,2,0,0,0,0,25,58.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,128.0,,,,19.0,1.0,11.0,,,,,17.0,,,,19.0,2.0,11.0,,8.0,8.0,8.0,,1.0,1.0,,,38.0,4.0,1.0,10.0,3.0,10.0,4.0,,,,,14.0,2.0,,,4.0,,7.0,5.0,11.0,11.0,,10.0,3.0,0.0,1.0,4.0,,8.0,,,3.0,3.0,,,,1.0,,,,,1.0,,,5.0,3.0,1.0,2.0,1.0,3.0,,,7.0,3.0,2.0,,,,,,1.0,,,3.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,
cpl::Football_Player::4a3790eed104423781b21001cbce69e9,A. García,Wanderers,Forward,2020,forward,10,758,6,0,19,0,11,0,0,17,24,13,0,0,28,81.0,10,1.19,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,758.0,,,,123.0,3.0,76.0,,,2.0,3.0,74.0,38.0,2.0,,141.0,17.0,113.0,7.0,27.0,28.0,23.0,,17.0,8.0,,5.0,258.0,10.0,8.0,68.0,28.0,10.0,41.0,1.0,24.0,,,82.0,1.0,,,10.0,,31.0,33.0,96.0,114.0,1.0,41.0,37.0,1.0,4.0,14.0,1.0,25.0,3.0,3.0,10.0,5.0,,,,5.0,8.0,,6.0,,3.0,13.0,1.0,15.0,52.0,1.0,8.0,5.0,19.0,,2.0,37.0,8.0,,,,,,1.0,11.0,,,2.0,6.0,,1.0,1.0,,,6.0,5.0,2.0,,2.0,1.0,,1.0,,5.0,,,1.0,2.0,,,,1.0,
cpl::Football_Player::96d163c606db462b80071516a2d4772b,J. Altobelli,York,Forward,2020,forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::fba3134832e445b5824410919421b981,M. Petrasso,Montréal,Forward,2020,forward,3,130,0,0,5,0,1,0,0,1,3,0,0,0,25,85.0,1,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,130.0,,,,18.0,2.0,10.0,,,1.0,,15.0,6.0,,,19.0,1.0,16.0,1.0,3.0,2.0,6.0,,3.0,2.0,,1.0,42.0,3.0,,6.0,4.0,10.0,4.0,,3.0,,,10.0,2.0,,,3.0,,3.0,3.0,15.0,16.0,,6.0,3.0,0.0,1.0,4.0,1.0,2.0,,,3.0,,,,,,,,,,2.0,,,3.0,10.0,1.0,4.0,2.0,5.0,,,4.0,1.0,,,,,,4.0,1.0,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,
