playerId,playerName,team,position,season,role,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,AerialsWonPercentage,Pass%,GoalsConceded,GAA,Corners,GoalsFreeKick,HitWoodwork,PenaltyAttempts,PenaltiesSuccessful,YellowRedCards,Xg,Xgefficiency,TacklesWonPercentage,DuelsWonPercentage,AerialDuelsWonPercentage,CrossCompletePercentage,TotalDistanceCovered,AverageDistanceCovered,TotalDistanceCoveredWalking,AverageDistanceCoveredWalking,TotalDistanceCoveredJogging,AverageDistanceCoveredJogging,TotalDistanceCoveredLowIntensityRunning,AverageDistanceCoveredLowIntensityRunning,TotalDistanceCoveredSprinting,AverageDistanceCoveredSprinting,TotalDistanceCoveredHighIntensityRunning,AverageDistanceCoveredHighIntensityRunning,Sprints,SavesMade,TimePlayed,GkSuccessfulDistribution,PenaltiesConceded,SuccessfulLaunches,OpenPlayPasses,CornersWon,BackwardPasses,SuccessfulPassesOppositionHalf,UnsuccessfulLaunches,YellowCards,UnsuccessfulLongPasses,TotalLossesOfPossession,SuccessfulPassesOwnHalf,UnsuccessfulShortPasses,PenaltyGoalsConceded,Punches,TotalPasses,TotalFoulsConceded,SuccessfulShortPasses,GoalsConcededInsideBox,TotalUnsuccessfulPasses(ExclCrosses&Corners),RightsidePasses,KeyPasses(attemptAssists),UnsuccessfulPassesOppositionHalf,PenaltiesSaved,GoalkeeperSmother,Recoveries,Starts,Drops,UnsuccessfulPassesOwnHalf,Touches,Appearances,FoulAttemptedTackle,Catches,GroundDuels,ForwardPasses,TotalTouchesInOppositionBox,Index,DuelsWon,SuccessfulLongPasses,TotalFoulsWon,SavesMadeFromOutsideBox,SavesMade-Parried,AerialDuelsWon,Duels,TotalClearances,SavesMadeFromInsideBox,PenaltiesFaced,GamesPlayed,SavesFromPenalty,SavesMade-Caught,GkUnsuccessfulDistribution,GroundDuelsLost,LeftsidePasses,SuccessfulOpenPlayPasses,TotalSuccessfulPasses(ExclCrosses&Corners),AerialDuels,CleanSheets,DuelsLost,GroundDuelsWon,GoalsConcededOutsideBox,SubstituteOff,TotalRedCards,StraightRedCards,CrossesNotClaimed,OwnGoalScored,SuccessfulDribbles,TotalTackles,Putthrough/blockedDistribution,HandballsConceded,LastManTackle,TacklesWon,Interceptions,Putthrough/blockedDistributionWon,AerialDuelsLost,TacklesLost,ThrowInsToOwnPlayer,SubstituteOn,ShotsOffTarget(incWoodwork),TotalShots,BlockedShots,Blocks,ClearancesOffTheLine,UnsuccessfulCrossesOpenPlay,SuccessfulCrosses&Corners,ThrowInsToOppositionPlayer,SuccessfulCrossesOpenPlay,UnsuccessfulDribbles,UnsuccessfulCrosses&Corners,ThroughBalls,SuccessfulLay-offs,CornersTaken(inclShortCorners),RedCards-2ndYellow,UnsuccessfulCornersIntoBox,Assists(intentional),GoalAssists,Offsides,SuccessfulCornersIntoBox,ShotsOnTarget(IncGoals),AttemptsFromSetPieces,Goals,RightFootGoals,GoalsFromInsideBox,UnsuccessfulLay-offs,HeadedGoals,GoalsFromOutsideBox,LeftFootGoals,FoulWonPenalty,SecondGoalAssists,SetPiecesGoals,PenaltiesTaken,PenaltyGoals,OtherGoals,PenaltiesOffTarget,WinningGoal,HomeGoals,AwayGoals,TimesTackled,GoalKicks,Overruns,LastPlayerTackle,Carries,ProgressiveCarries,TotalBigChancesCreated,TotalBigChancesSaved,FinalThirdTouches,TotalBigChancesScored,TotalBigChancesMissed,GoalsOpenplay
cpl::Football_Player::0431bad1fa9344b085a6c56889ed82d1,Q. Roberts,Forge,Goalkeeper,2019,goalkeeper,8,720,0,0,0,0,0,0,1,0,2,0,0,0,100,72.0,9,1.12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,720.0,90.0,,8.0,117.0,,,20.0,22.0,,57.0,62.0,130.0,3.0,1.0,,210.0,,111.0,8.0,60.0,44.0,,47.0,,,73.0,8.0,2.0,13.0,297.0,8.0,,2.0,3.0,119.0,,10.0,6.0,39.0,2.0,10.0,3.0,3.0,6.0,2.0,17.0,2.0,8.0,,,22.0,,47.0,94.0,150.0,3.0,4.0,,3.0,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::364352c812a14e868234e4883c9bd4e0,N. Ingham,Atlético,Goalkeeper,2019,goalkeeper,26,2340,0,0,0,0,0,0,0,0,13,0,0,0,94,72.0,34,1.31,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,2340.0,298.0,,73.0,526.0,1.0,,145.0,106.0,,246.0,263.0,481.0,7.0,1.0,13.0,879.0,,406.0,25.0,253.0,118.0,1.0,194.0,1.0,2.0,249.0,26.0,1.0,59.0,1181.0,26.0,,22.0,8.0,610.0,,10.0,26.0,220.0,13.0,29.0,32.0,18.0,27.0,24.0,60.0,2.0,26.0,1.0,6.0,75.0,,151.0,408.0,626.0,19.0,6.0,1.0,8.0,9.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::65d2bf4929274b6f94dbbb949093b783,J. Wheeldon,Cavalry,Defender,2019,defender,18,1497,0,0,5,0,0,0,12,12,6,0,6,0,59,83.0,9,0.54,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1497.0,,,8.0,765.0,1.0,41.0,105.0,40.0,6.0,89.0,154.0,545.0,52.0,,,791.0,12.0,563.0,9.0,141.0,219.0,1.0,97.0,,,61.0,17.0,,44.0,945.0,18.0,6.0,,40.0,294.0,15.0,10.0,66.0,87.0,6.0,,,42.0,111.0,71.0,,,18.0,,,,16.0,237.0,628.0,650.0,71.0,7.0,45.0,24.0,,3.0,,,,,2.0,16.0,5.0,1.0,,12.0,14.0,3.0,29.0,4.0,,1.0,5.0,5.0,3.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::14db7405a9c04988b3f8c7e7462ccab0,D. Northover,Cavalry,Defender,2019,defender,8,609,0,0,1,0,0,0,13,13,14,0,2,1,50,70.0,5,0.74,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,609.0,,,1.0,251.0,2.0,62.0,91.0,16.0,2.0,26.0,133.0,92.0,51.0,,,256.0,13.0,165.0,4.0,77.0,18.0,4.0,69.0,,,34.0,7.0,,23.0,477.0,8.0,9.0,,67.0,113.0,2.0,10.0,52.0,14.0,14.0,,,12.0,91.0,10.0,,,8.0,,,,27.0,63.0,174.0,179.0,24.0,1.0,39.0,40.0,1.0,2.0,1.0,1.0,,,6.0,20.0,12.0,,,13.0,15.0,5.0,12.0,7.0,68.0,1.0,1.0,1.0,,,,15.0,4.0,16.0,4.0,4.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::528b48f0adc7452ea0b4d13358823c87,N. Mavila,Cavalry,Defender,2019,defender,25,2021,0,1,1,0,0,1,35,38,24,0,2,1,51,70.0,13,0.58,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2021.0,,1.0,13.0,828.0,11.0,137.0,261.0,43.0,2.0,111.0,435.0,348.0,150.0,2.0,,862.0,38.0,531.0,10.0,261.0,284.0,7.0,211.0,,,113.0,23.0,,84.0,1448.0,25.0,16.0,,210.0,411.0,2.0,10.0,140.0,70.0,24.0,,,28.0,264.0,44.0,,,25.0,,,,98.0,30.0,572.0,601.0,54.0,7.0,124.0,112.0,3.0,6.0,1.0,,,,36.0,53.0,45.0,2.0,,35.0,23.0,20.0,26.0,18.0,149.0,2.0,1.0,1.0,,5.0,,31.0,8.0,66.0,8.0,17.0,34.0,,1.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::234ca5343e0d44918510c10cf986e4a0,N. Langwa,Wanderers,Defender,2019,defender,19,1281,0,0,6,0,3,0,47,22,23,1,3,0,75,70.0,16,1.12,2,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1281.0,,,2.0,452.0,9.0,49.0,124.0,21.0,3.0,51.0,295.0,210.0,95.0,1.0,,472.0,22.0,301.0,14.0,146.0,166.0,10.0,113.0,,,90.0,14.0,,57.0,1004.0,19.0,13.0,,260.0,243.0,19.0,10.0,154.0,25.0,23.0,,,9.0,272.0,21.0,,,19.0,,,,115.0,14.0,311.0,326.0,12.0,4.0,118.0,145.0,2.0,2.0,,,,,58.0,64.0,40.0,1.0,,47.0,17.0,16.0,3.0,17.0,131.0,5.0,3.0,6.0,,,,20.0,8.0,21.0,1.0,34.0,24.0,,,2.0,,,,,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::59c28751c88d4dd894cf8907e233745f,J. Waterman,Montréal,Defender,2019,defender,22,1719,1,2,6,0,4,2,23,19,35,0,4,1,64,85.0,13,0.68,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1719.0,,1.0,16.0,1114.0,2.0,102.0,315.0,37.0,4.0,91.0,216.0,652.0,90.0,1.0,,1147.0,19.0,852.0,10.0,181.0,281.0,8.0,135.0,,,139.0,19.0,,52.0,1429.0,22.0,12.0,,133.0,496.0,20.0,10.0,120.0,114.0,35.0,,,38.0,192.0,49.0,,,22.0,,,,51.0,268.0,940.0,966.0,59.0,7.0,72.0,82.0,3.0,1.0,1.0,1.0,,,10.0,37.0,14.0,1.0,,23.0,48.0,5.0,21.0,14.0,20.0,3.0,2.0,6.0,3.0,8.0,,6.0,1.0,4.0,1.0,6.0,6.0,,3.0,,,,2.0,2.0,,,4.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::347018d8099042888a6076bd0cea0744,K. Çela,Forge,Defender,2019,defender,8,326,1,1,1,0,1,1,7,6,9,1,0,0,50,69.0,7,1.93,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,326.0,,,2.0,106.0,,18.0,39.0,2.0,,5.0,62.0,39.0,30.0,1.0,,111.0,6.0,69.0,6.0,35.0,3.0,1.0,34.0,,,14.0,3.0,,8.0,242.0,8.0,1.0,,39.0,50.0,6.0,10.0,35.0,7.0,9.0,,,9.0,57.0,19.0,,,8.0,,,,13.0,40.0,71.0,76.0,18.0,,22.0,26.0,1.0,1.0,,,,,2.0,15.0,3.0,1.0,,7.0,4.0,,9.0,8.0,35.0,5.0,,1.0,1.0,2.0,,7.0,2.0,11.0,2.0,1.0,7.0,,1.0,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::94c3ab35a187436683aa1e7c720bf37a,D. Lee,Wanderers,Defender,2019,defender,8,678,0,0,0,0,0,0,24,18,4,0,1,0,27,78.0,9,1.19,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,678.0,,,4.0,262.0,1.0,21.0,52.0,5.0,1.0,25.0,74.0,161.0,36.0,,,273.0,18.0,192.0,7.0,61.0,85.0,1.0,39.0,,,50.0,7.0,,24.0,385.0,8.0,11.0,,59.0,132.0,2.0,10.0,40.0,20.0,4.0,,,3.0,70.0,21.0,,,8.0,,,,22.0,35.0,202.0,212.0,11.0,1.0,30.0,37.0,2.0,1.0,,,,,5.0,28.0,10.0,1.0,,24.0,9.0,5.0,8.0,4.0,9.0,1.0,,,1.0,4.0,,2.0,1.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::a766cd1734d84307a9ace241b64d8ed2,J. Esua,Edmonton,Defender,2019,defender,21,1799,0,2,5,0,1,2,19,20,20,5,2,1,68,75.0,20,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1799.0,,,20.0,747.0,12.0,169.0,256.0,67.0,2.0,103.0,399.0,323.0,94.0,4.0,,762.0,20.0,499.0,17.0,197.0,37.0,13.0,211.0,,,129.0,20.0,,64.0,1335.0,21.0,8.0,,121.0,308.0,18.0,10.0,111.0,66.0,20.0,,,39.0,178.0,43.0,,,21.0,,,,49.0,248.0,551.0,565.0,57.0,8.0,67.0,72.0,3.0,1.0,1.0,1.0,,,31.0,24.0,32.0,2.0,,19.0,32.0,10.0,18.0,5.0,149.0,1.0,4.0,5.0,2.0,7.0,,78.0,14.0,57.0,14.0,14.0,78.0,,3.0,,,,2.0,2.0,5.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
