match_id,playerId,playerName,date,Rating
2022_2022-04-09_Atlético_Ottawa_vs_Cavalry,cpl::Football_Player::8a6c8e7f553849f9a237ca5dd408e66d,B. Levis,2022-04-09 19:00:00+00:00,1500.0
2022_2022-04-09_Atlético_Ottawa_vs_Cavalry,cpl::Football_Player::a96eb3025e23467ca33277ae9c86f369,S. Salter,2022-04-09 19:00:00+00:00,1500.0
2022_2022-04-09_Atlético_Ottawa_vs_Cavalry,cpl::Football_Player::907ea07d836b4d78a6fd1c95e7081ee6,D. Zator,2022-04-09 19:00:00+00:00,1500.0
2022_2022-04-09_Atlético_Ottawa_vs_Cavalry,cpl::Football_Player::23c92ceb8bee415a886f16e93c507c65,M. Carducci,2022-04-09 19:00:00+00:00,1500.0
2022_2022-04-09_Atlético_Ottawa_vs_Cavalry,cpl::Football_Player::025b3abb0a9541f29ad82d9cd2eb8335,J. Escalante,2022-04-09 19:00:00+00:00,1500.0
2022_2022-04-09_Atlético_Ottawa_vs_Cavalry,cpl::Football_Player::c314ef65be194ced895c50a72967def8,D. Klomp,2022-04-09 19:00:00+00:00,1500.0
2022_2022-04-09_Atlético_Ottawa_vs_Cavalry,cpl::Football_Player::2d8cec65b1bb4b20872a91ac73584d29,A. Musse,2022-04-09 19:00:00+00:00,1500.0
2022_2022-04-09_Atlético_Ottawa_vs_Cavalry,cpl::Football_Player::d80c8273244649a0841591e849fc3590,D. Gutiérrez,2022-04-09 19:00:00+00:00,1500.0
2022_2022-04-09_Atlético_Ottawa_vs_Cavalry,cpl::Football_Player::f52a8b692a56475c9c08c17236a42e86,S. Shome,2022-04-09 19:00:00+00:00,1500.0
2022_2022-04-09_Atlético_Ottawa_vs_Cavalry,cpl::Football_Player::00cb81880a254ba7957fdb6ee6eec8a8,M. Trafford,2022-04-09 19:00:00+00:00,1500.0
2022_2022-04-09_Atlético_Ottawa_vs_Cavalry,cpl::Football_Player::c49f24c9d41145ed9c4bf9758b0ed6f9,J. Mason,2022-04-09 19:00:00+00:00,1500.0
2022_2022-04-09_Atlético_Ottawa_vs_Cavalry,cpl::Football_Player::6b48ced0357d4fd4a50e8ba77b6784d8,T. Warschewski,2022-04-09 19:00:00+00:00,1500.0
2022_2022-04-09_Atlético_Ottawa_vs_Cavalry,cpl::Football_Player::d3d6fda71a9e4981abbb1d3785bc0dee,C. Trafford,2022-04-09 19:00:00+00:00,1500.0
