playerName,TotalMinutes,SeasonsPlayed,CareerAttack,CareerDefense,CareerTotal
D. Rodríguez,2491,1,41.42229238103175,1.2974717547014838,40.84524599409277
T. Warschewski,8215,4,20.962469225626247,1.3809202861050873,21.667613366169697
A. Musse,7917,4,19.199711668730377,0.8058264407482627,20.271509848042115
M. Ferrin,6410,3,18.939649150150284,0.40097645212586697,17.651321901187867
S. Salter,7674,5,14.765124449495978,1.070057334203389,15.745988410157633
T. Antonoglou,4441,2,11.806181606119228,4.215289483217835,15.20298204422871
J. Altobelli,2003,1,15.478482556802788,0.2611167817383952,15.1001849324512
M. Aparicio,13121,7,13.443035493630912,2.684455418878991,14.995586447022314
J. Büscher,1768,1,14.071898253766353,1.5470229888105587,14.87471840774437
S. Rea,4965,3,16.596844755236045,0.1072560414954208,14.83579400417216
G. Ntignee,1362,1,6.558284000549979,2.596613918125149,14.702049022907667
D. Abzi,4121,2,14.182296830505745,3.413409662027903,14.55051855906642
M. Dyer,5454,3,11.739747297169183,1.5941001518501627,14.440919970193619
João Morelli,2031,2,12.639733676083072,0.2548545778566151,14.31733681646292
T. Borges,9970,6,12.812799350262821,1.0628968957567033,14.279445537549725
T. Vincensini,2730,1,1.2325903655237622,13.561003639006444,13.800432156899182
E. Bah,2968,2,13.38910364856004,1.9487982424822918,13.640508135922575
K. Froese,957,1,14.80070194208252,-0.0232109691768613,13.618948383350778
J. Guzmán,944,1,8.056916404414892,-0.5198425627334904,13.514258947840158
M. Bevan,2881,2,12.208328498701613,0.9582098254365012,13.506728834890735
M. Morgan,1578,1,17.179040854588965,1.8202337931164896,13.374656514792088
B. Tabla,6459,3,12.999282679802,0.8339319198063354,13.015507012094217
O. Bassett,8510,4,14.671622772472002,-0.07489772935710265,12.564809482540912
K. Bekker,14199,7,13.365436145623038,-0.32751100835005215,12.421632305277674
M. Bustos,8798,5,12.097704124756984,0.8291575592632693,12.381888825561699
S. Camargo,8971,6,14.705007029862863,-0.4691927534926817,12.292672563260979
D. Nimick,7207,3,10.992528327012572,0.35925450033208123,11.588707226248628
O. De Rosario,3456,2,11.190204010182095,0.9875521830511044,11.572230646388507
