playerName,playerId,season,team,role,TotalShrunk,PercentileRank,ScoreDelta,PrevSeasonScore,AttackShrunk,DefenseShrunk,Minutes,Eligible,G_per_game,A_per_game,SOT_per_game,KP_per_game,Tackles_pg,PassPct,SavePct,GAA
Víctor Blasco,cpl::Football_Player::52ee822ec2ea43bc844f27d96e16334b,2019,Pacific,forward,8.13191245302284,84.0,,,6.302334869269634,2.1216026843209432,1586,True,0.24,0.12,0.72,0.12,1.16,77.0,0.0,1.7
L. Béland-Goyette,cpl::Football_Player::eab0ad0262a74f8b93974c91a77742b0,2019,Montréal,midfielder,7.162351726821168,82.4,,,3.9095464791281676,2.9546618266895206,1772,True,0.0476190476190476,0.1428571428571428,0.0952380952380952,0.1428571428571428,1.9047619047619047,85.0,0.0,1.93
D. Krutzen,cpl::Football_Player::8d7834c08c834b28a4daef064d1e6041,2019,Forge,defender,4.191528245980397,81.6,,,2.8295608049389553,-0.043484455080740496,2471,True,0.0357142857142857,0.0714285714285714,0.1785714285714285,0.0714285714285714,0.8571428571428571,78.0,0.0,0.87
Q. Roberts,cpl::Football_Player::0431bad1fa9344b085a6c56889ed82d1,2019,Forge,goalkeeper,4.008486290180772,80.0,,,0.006730865275741524,3.98571197157427,720,True,0.0,0.0,0.0,0.0,0.125,72.0,0.0,1.12
R. Telfer,cpl::Football_Player::3a40cda943824387943792e6a62fee0f,2019,Wanderers,forward,7.731723988325406,80.0,,,6.906504907743127,1.2952654749700712,2216,True,0.3076923076923077,0.0384615384615384,1.1153846153846154,0.0384615384615384,1.3846153846153846,78.0,0.0,1.34
S. Camargo,cpl::Football_Player::9a6571b3737143b79989244b08fbd50d,2019,Cavalry,midfielder,6.116689649685371,79.4,,,10.485375678713996,-1.8404487191040355,1260,True,0.3,0.15,0.55,0.15,0.4,76.0,0.0,0.64
K. Awuah,cpl::Football_Player::dbae960e1a0c4c7ba2104c9a904d6ab5,2019,Forge,defender,3.5070515440793697,78.9,,,3.447923935087454,3.4863253067196323,1975,True,0.0,0.1851851851851851,0.037037037037037,0.1851851851851851,1.5925925925925926,80.0,0.0,0.82
A. González,cpl::Football_Player::3c502e89633840d7a81049bf39c404ca,2019,Pacific,midfielder,5.582945876699687,76.5,,,2.1994113456289464,1.4505167744589862,1746,True,0.0,0.1,0.2,0.1,1.45,86.0,0.0,1.65
M. Doner,cpl::Football_Player::3d491de2b55343c2990181e2b04da353,2019,York,defender,3.4002936391963896,76.3,,,4.067096956958433,1.3461570580346733,2250,True,0.04,0.16,0.04,0.16,1.16,81.0,0.0,1.28
N. Pasquotti,cpl::Football_Player::56a1c426e347456e875c52b4e799f2ea,2019,Cavalry,forward,6.866955101644215,76.0,,,5.375823222988288,1.7051911470480967,1943,True,0.2,0.12,0.64,0.12,1.16,73.0,0.0,0.56
R. Garcia,cpl::Football_Player::692d080cedb84a6cb1424836cc8e6daf,2019,Valour,defender,2.7244146321663947,73.7,,,-0.32346420668621584,3.46459709491201,943,True,0.0,0.125,0.0625,0.125,2.25,78.0,0.0,2.0
Z. Verhoven,cpl::Football_Player::88ac022bf06149f1be2ce2ab7f3c087c,2019,Vancouver FC,midfielder,5.578950880936704,73.5,,,4.492366147573994,1.8597651540312945,1285,True,0.0909090909090909,0.0909090909090909,0.4545454545454545,0.0909090909090909,1.5454545454545454,71.0,0.0,1.68
