Season,Date,HomeTeam,AwayTeam,HomeScore,AwayScore,Status,Venue,Result,NaiveProbHome,NaiveProbDraw,NaiveProbAway
2022,2022-06-16 00:00:00+00:00,Valour,Cavalry,2,4,FINISHED,Princess Auto Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-18 20:00:00+00:00,York United,Pacific,0,0,FINISHED,York Lions Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-19 18:00:00+00:00,HFX Wanderers,Forge,0,3,FINISHED,Wanderers Grounds,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-19 21:00:00+00:00,Edmonton,Atlético Ottawa,1,0,FINISHED,Clarke Field,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-25 21:00:00+00:00,Pacific,HFX Wanderers,0,3,FINISHED,Starlight Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-26 16:00:00+00:00,York United,Valour,1,3,FINISHED,York Lions Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-26 23:00:00+00:00,Cavalry,Edmonton,3,1,FINISHED,ATCO Field,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-29 23:00:00+00:00,Forge,Valour,0,1,FINISHED,Hamilton Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-06-30 22:30:00+00:00,HFX Wanderers,Atlético Ottawa,0,2,FINISHED,Wanderers Grounds,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-01 01:30:00+00:00,Pacific,Cavalry,3,3,FINISHED,Starlight Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-01 22:00:00+00:00,Edmonton,York United,3,0,FINISHED,Clarke Field,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-03 20:00:00+00:00,Forge,Atlético Ottawa,0,1,FINISHED,Hamilton Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-08 23:30:00+00:00,York United,Forge,0,2,FINISHED,York Lions Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-09 20:00:00+00:00,Edmonton,Pacific,2,3,FINISHED,Clarke Field,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-09 23:00:00+00:00,Atlético Ottawa,Cavalry,1,1,FINISHED,TD Place Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-10 19:00:00+00:00,Valour,HFX Wanderers,1,0,FINISHED,Princess Auto Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-15 00:30:00+00:00,Cavalry,HFX Wanderers,3,0,FINISHED,ATCO Field,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-15 23:30:00+00:00,York United,Pacific,2,4,FINISHED,York Lions Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-19 22:45:00+00:00,Forge,Edmonton,5,1,FINISHED,Hamilton Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-20 01:30:00+00:00,Cavalry,York United,0,1,FINISHED,ATCO Field,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-20 23:00:00+00:00,Atlético Ottawa,Valour,1,1,FINISHED,TD Place Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-23 02:00:00+00:00,Pacific,Cavalry,3,0,FINISHED,Starlight Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-23 17:30:00+00:00,HFX Wanderers,Edmonton,1,1,FINISHED,Wanderers Grounds,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-23 20:30:00+00:00,Forge,Valour,3,1,FINISHED,Hamilton Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-24 18:00:00+00:00,York United,Atlético Ottawa,0,3,FINISHED,York Lions Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-28 01:00:00+00:00,Cavalry,Forge,1,2,FINISHED,ATCO Field,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-30 19:00:00+00:00,Valour,Pacific,1,2,FINISHED,Princess Auto Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-30 22:00:00+00:00,Cavalry,Edmonton,2,0,FINISHED,ATCO Field,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-07-31 23:00:00+00:00,Atlético Ottawa,Forge,0,4,FINISHED,TD Place Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-08-01 18:00:00+00:00,HFX Wanderers,York United,2,4,FINISHED,Wanderers Grounds,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-08-04 00:00:00+00:00,Valour,Cavalry,2,0,FINISHED,Princess Auto Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-08-06 20:00:00+00:00,Forge,HFX Wanderers,1,0,FINISHED,Hamilton Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-08-07 18:37:00+00:00,Atlético Ottawa,Edmonton,2,1,FINISHED,TD Place Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-08-07 21:00:00+00:00,Valour,York United,2,0,FINISHED,Princess Auto Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-08-13 01:00:00+00:00,Cavalry,Forge,2,1,FINISHED,ATCO Field,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-08-13 18:00:00+00:00,HFX Wanderers,Valour,1,0,FINISHED,Wanderers Grounds,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-08-13 21:00:00+00:00,Pacific,Atlético Ottawa,1,0,FINISHED,Starlight Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-08-14 20:00:00+00:00,York United,Edmonton,3,2,FINISHED,York Lions Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-08-17 23:00:00+00:00,Atlético Ottawa,HFX Wanderers,3,2,FINISHED,TD Place Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-08-20 17:30:00+00:00,HFX Wanderers,Pacific,1,0,FINISHED,Wanderers Grounds,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-08-20 23:00:00+00:00,Forge,York United,1,3,FINISHED,Hamilton Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-08-21 18:30:00+00:00,Valour,Edmonton,1,1,FINISHED,Princess Auto Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-08-21 21:30:00+00:00,Cavalry,Atlético Ottawa,0,3,FINISHED,ATCO Field,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-08-27 19:30:00+00:00,Cavalry,York United,1,0,FINISHED,ATCO Field,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-08-27 22:30:00+00:00,Atlético Ottawa,Forge,0,0,FINISHED,TD Place Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-08-28 19:00:00+00:00,Valour,Pacific,1,0,FINISHED,Princess Auto Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-08-28 22:00:00+00:00,Edmonton,HFX Wanderers,3,2,FINISHED,Clarke Field,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-09-01 00:00:00+00:00,Valour,Forge,1,0,FINISHED,Princess Auto Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-09-02 23:00:00+00:00,Atlético Ottawa,Edmonton,0,0,FINISHED,TD Place Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-09-03 21:00:00+00:00,Pacific,York United,1,3,FINISHED,Starlight Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-09-04 18:00:00+00:00,Valour,Forge,1,0,FINISHED,Princess Auto Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-09-05 18:00:00+00:00,HFX Wanderers,Cavalry,0,0,FINISHED,Wanderers Grounds,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-09-09 23:30:00+00:00,York United,Edmonton,3,1,FINISHED,York Lions Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-09-10 18:00:00+00:00,HFX Wanderers,Valour,1,0,FINISHED,Wanderers Grounds,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-09-10 21:00:00+00:00,Forge,Cavalry,2,1,FINISHED,Hamilton Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-09-11 20:00:00+00:00,Pacific,Atlético Ottawa,1,1,FINISHED,Starlight Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-09-16 23:30:00+00:00,York United,HFX Wanderers,0,0,FINISHED,York Lions Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-09-17 20:00:00+00:00,Edmonton,Cavalry,0,1,FINISHED,Clarke Field,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-09-18 20:00:00+00:00,Valour,Atlético Ottawa,1,1,FINISHED,Princess Auto Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-09-19 00:00:00+00:00,Pacific,Forge,1,1,FINISHED,Starlight Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-09-23 23:30:00+00:00,York United,Valour,3,1,FINISHED,York Lions Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-09-24 21:30:00+00:00,Cavalry,Atlético Ottawa,1,3,FINISHED,ATCO Field,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-09-25 21:00:00+00:00,Edmonton,Forge,1,1,FINISHED,Clarke Field,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-09-27 22:00:00+00:00,HFX Wanderers,Pacific,0,2,FINISHED,Wanderers Grounds,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-10-01 02:00:00+00:00,Pacific,Edmonton,1,0,FINISHED,Starlight Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-10-01 18:00:00+00:00,HFX Wanderers,Atlético Ottawa,1,2,FINISHED,Wanderers Grounds,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-10-01 21:00:00+00:00,Forge,York United,2,0,FINISHED,Hamilton Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-10-02 19:30:00+00:00,Cavalry,Valour,2,1,FINISHED,ATCO Field,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-10-05 23:00:00+00:00,Forge,Pacific,0,1,FINISHED,Hamilton Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-10-08 19:00:00+00:00,Edmonton,Valour,3,1,FINISHED,Clarke Field,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-10-08 22:00:00+00:00,Cavalry,Pacific,1,0,FINISHED,ATCO Field,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-10-09 17:00:00+00:00,Forge,HFX Wanderers,1,0,FINISHED,Hamilton Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-10-09 22:00:00+00:00,Atlético Ottawa,York United,2,2,FINISHED,TD Place Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-10-15 20:00:00+00:00,Cavalry,Forge,1,1,FINISHED,ATCO Field,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-10-15 23:00:00+00:00,Pacific,Atlético Ottawa,0,2,FINISHED,Starlight Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-10-23 18:00:00+00:00,Atlético Ottawa,Pacific,1,1,FINISHED,TD Place Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-10-23 21:00:00+00:00,Forge,Cavalry,2,1,FINISHED,Hamilton Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2022,2022-10-30 22:00:00+00:00,Atlético Ottawa,Forge,0,2,FINISHED,TD Place Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-04-15 17:00:00+00:00,Atlético Ottawa,HFX Wanderers,1,1,FINISHED,TD Place Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-04-15 20:00:00+00:00,Forge,Cavalry,2,2,FINISHED,Hamilton Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-04-15 23:00:00+00:00,Pacific,Vancouver FC,1,0,FINISHED,Starlight Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-04-16 18:00:00+00:00,York United,Valour,0,2,FINISHED,York Lions Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-04-22 17:00:00+00:00,York United,Vancouver FC,1,2,FINISHED,York Lions Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-04-22 20:00:00+00:00,Forge,HFX Wanderers,1,1,FINISHED,Hamilton Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-04-22 23:00:00+00:00,Valour,Atlético Ottawa,1,1,FINISHED,Princess Auto Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-04-23 20:00:00+00:00,Pacific,Cavalry,1,1,FINISHED,Starlight Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-04-29 18:00:00+00:00,HFX Wanderers,Vancouver FC,1,1,FINISHED,Wanderers Grounds,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-04-29 21:00:00+00:00,Atlético Ottawa,York United,0,1,FINISHED,TD Place Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-04-30 21:00:00+00:00,Cavalry,Valour,1,1,FINISHED,ATCO Field,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-05-01 00:00:00+00:00,Pacific,Forge,0,1,FINISHED,Starlight Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-05-05 23:30:00+00:00,York United,Forge,0,1,FINISHED,York Lions Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-05-06 20:00:00+00:00,Valour,HFX Wanderers,0,0,FINISHED,Princess Auto Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-05-06 23:00:00+00:00,Atlético Ottawa,Pacific,1,4,FINISHED,TD Place Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-05-07 23:00:00+00:00,Vancouver FC,Cavalry,1,1,FINISHED,Willoughby Community Park at the Langley Events Centre,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-05-13 20:00:00+00:00,Forge,Valour,3,2,FINISHED,Hamilton Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-05-13 23:00:00+00:00,Cavalry,HFX Wanderers,2,2,FINISHED,ATCO Field,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-05-14 01:30:00+00:00,Vancouver FC,Atlético Ottawa,0,5,FINISHED,Willoughby Community Park at the Langley Events Centre,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-05-14 22:00:00+00:00,Pacific,York United,4,1,FINISHED,Starlight Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-05-19 23:00:00+00:00,Forge,Vancouver FC,0,0,FINISHED,Hamilton Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-05-20 18:00:00+00:00,HFX Wanderers,York United,0,3,FINISHED,Wanderers Grounds,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-05-20 21:00:00+00:00,Valour,Pacific,1,1,FINISHED,Princess Auto Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-05-21 23:00:00+00:00,Cavalry,Atlético Ottawa,2,0,FINISHED,ATCO Field,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-05-27 18:00:00+00:00,Atlético Ottawa,Forge,0,1,FINISHED,TD Place Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-05-28 02:00:00+00:00,Pacific,HFX Wanderers,1,1,FINISHED,Starlight Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-05-28 21:00:00+00:00,York United,Cavalry,1,0,FINISHED,York Lions Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-05-29 00:00:00+00:00,Vancouver FC,Valour,0,0,FINISHED,Willoughby Community Park at the Langley Events Centre,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-05-31 23:00:00+00:00,Forge,York United,1,2,FINISHED,Hamilton Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-06-03 02:00:00+00:00,Vancouver FC,Pacific,3,6,FINISHED,Willoughby Community Park at the Langley Events Centre,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-06-03 20:00:00+00:00,Cavalry,Forge,1,1,FINISHED,ATCO Field,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-06-03 23:00:00+00:00,Atlético Ottawa,HFX Wanderers,2,0,FINISHED,TD Place Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-06-04 19:00:00+00:00,Valour,York United,1,1,FINISHED,Princess Auto Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-06-09 23:30:00+00:00,York United,Atlético Ottawa,2,1,FINISHED,York Lions Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-06-10 17:00:00+00:00,HFX Wanderers,Valour,2,0,FINISHED,Wanderers Grounds,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
