playerName,season,team,position,role,GamesPlayed,Minutes,Goals,Assists,Shots,GoalInvolvements,ShotsOnTarget,KeyPasses,Tackles,FoulsCommitted,FoulsSuffered,Offsides,YellowCards,RedCards,PassPct,GAA,SavePct,G_per_game,A_per_game,S_per_game,SOT_per_game,KP_per_game,Minutes_per_game,playerId
R. Cleary,2021,Forge,Forward,forward,5.0,51,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,100.0,3.53,0.0,0.0,0.0,0.2,0.2,0.0,10.2,cpl::Football_Player::397fbf5a532149178d3600d8bdff14f4
R. Davis,2021,Wanderers,Forward,forward,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cpl::Football_Player::b080433050c64c398039e681629cfdeb
R. Edwini-Bonsu,2019,Edmonton,Forward,forward,12.0,363,0.0,1.0,9.0,0.0,6.0,1.0,5.0,9.0,13.0,1.0,1.0,0.0,65.0,1.24,0.0,0.0,0.0833333333333333,0.75,0.5,0.0833333333333333,30.25,cpl::Football_Player::e8e645fea075440a9f8568e37b9bd5e2
R. Ennin,2025,Atlético,Forward,forward,2.0,24,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,12.0,cpl::Football_Player::9dfc9045ab234f19a37a7fbd9c091f3e
R. Ferrazzo,2023,York,Defender,defender,23.0,1208,0.0,1.0,11.0,0.0,3.0,1.0,24.0,22.0,24.0,4.0,6.0,0.0,81.0,1.12,0.0,0.0,0.0434782608695652,0.4782608695652174,0.1304347826086956,0.0434782608695652,52.52173913043478,cpl::Football_Player::24a77d6eb2fd4d2d875f2d3fbab2679b
R. Ferrazzo,2024,York,Defender,defender,20.0,817,2.0,1.0,11.0,3.0,6.0,1.0,19.0,18.0,20.0,3.0,1.0,0.0,77.0,1.54,50.0,0.1,0.05,0.55,0.3,0.05,40.85,cpl::Football_Player::24a77d6eb2fd4d2d875f2d3fbab2679b
R. Ferrazzo,2025,York,Defender,defender,23.0,1444,3.0,1.0,13.0,4.0,7.0,1.0,23.0,35.0,28.0,2.0,7.0,0.0,77.0,1.37,46.88,0.1304347826086956,0.0434782608695652,0.5652173913043478,0.3043478260869565,0.0434782608695652,62.78260869565217,cpl::Football_Player::24a77d6eb2fd4d2d875f2d3fbab2679b
R. Garcia,2019,Valour,Defender,defender,16.0,943,0.0,2.0,1.0,0.0,1.0,2.0,36.0,16.0,8.0,1.0,2.0,0.0,78.0,2.0,0.0,0.0,0.125,0.0625,0.0625,0.125,58.9375,cpl::Football_Player::692d080cedb84a6cb1424836cc8e6daf
R. Garcia,2020,Valour,Defender,defender,1.0,26,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3.46,0.0,0.0,0.0,1.0,1.0,0.0,26.0,cpl::Football_Player::692d080cedb84a6cb1424836cc8e6daf
R. Gattas,2019,York,Forward,forward,28.0,1958,9.0,0.0,61.0,0.0,36.0,0.0,14.0,25.0,21.0,16.0,2.0,0.0,77.0,1.29,0.0,0.3214285714285714,0.0,2.1785714285714284,1.2857142857142858,0.0,69.92857142857143,cpl::Football_Player::6140d85c2a6949b78d0577605544363e
R. Gomes,2020,Atlético,Goalkeeper,goalkeeper,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cpl::Football_Player::6157ad2ed4f14fa1a4a7327dbeed8aba
R. Juhmi,2025,Pacific,Midfielder,midfielder,10.0,701,0.0,1.0,2.0,1.0,1.0,1.0,19.0,19.0,7.0,0.0,4.0,0.0,86.0,2.31,61.54,0.0,0.1,0.2,0.1,0.1,70.1,cpl::Football_Player::5e3618d3335b4f5b8d239395023ae296
R. Kratt,2022,Pacific,Forward,forward,14.0,858,2.0,1.0,13.0,0.0,8.0,1.0,10.0,13.0,9.0,3.0,0.0,0.0,79.0,1.36,0.0,0.1428571428571428,0.0714285714285714,0.9285714285714286,0.5714285714285714,0.0714285714285714,61.285714285714285,cpl::Football_Player::8f05f759197149d88e64f7a679adef64
R. Kratt,2025,Pacific,Forward,forward,5.0,321,2.0,0.0,6.0,2.0,4.0,0.0,5.0,9.0,5.0,1.0,0.0,0.0,74.0,1.68,0.0,0.4,0.0,1.2,0.8,0.0,64.2,cpl::Football_Player::8f05f759197149d88e64f7a679adef64
R. Moore,2024,Pacific,Forward,forward,20.0,1072,3.0,2.0,20.0,5.0,11.0,2.0,6.0,23.0,11.0,8.0,2.0,1.0,76.0,1.43,38.67,0.15,0.1,1.0,0.55,0.1,53.6,cpl::Football_Player::0fd02f7d64ca484bbfcbbf30c395f33b
R. Núñez,2021,Atlético,Forward,forward,25.0,1635,0.0,0.0,25.0,0.0,11.0,0.0,12.0,14.0,30.0,6.0,3.0,0.0,82.0,1.71,0.0,0.0,0.0,1.0,0.44,0.0,65.4,cpl::Football_Player::561b87875f804f3f815786e5ab7d41e0
R. Ohin,2024,Valour,Midfielder,midfielder,21.0,1230,1.0,0.0,14.0,1.0,4.0,0.0,17.0,26.0,27.0,0.0,8.0,0.0,84.0,1.61,47.37,0.0476190476190476,0.0,0.6666666666666666,0.1904761904761904,0.0,58.57142857142857,cpl::Football_Player::c2267256cd964bb3b0bda247e07fc87b
R. Ohin,2025,Valour,Midfielder,midfielder,26.0,2164,0.0,0.0,14.0,0.0,2.0,0.0,25.0,42.0,33.0,0.0,9.0,0.0,90.0,2.0,36.0,0.0,0.0,0.5384615384615384,0.0769230769230769,0.0,83.23076923076923,cpl::Football_Player::c2267256cd964bb3b0bda247e07fc87b
R. Rama,2022,Forge,Defender,defender,22.0,1898,0.0,0.0,6.0,0.0,2.0,0.0,35.0,39.0,31.0,0.0,10.0,0.0,82.0,0.71,0.0,0.0,0.0,0.2727272727272727,0.0909090909090909,0.0,86.27272727272727,cpl::Football_Player::f40858671e354d42ad80fd9d251afb6f
R. Rama,2023,Forge,Defender,defender,28.0,2397,1.0,2.0,12.0,0.0,4.0,2.0,45.0,43.0,19.0,1.0,8.0,0.0,80.0,1.09,0.0,0.0357142857142857,0.0714285714285714,0.4285714285714285,0.1428571428571428,0.0714285714285714,85.60714285714286,cpl::Football_Player::f40858671e354d42ad80fd9d251afb6f
R. Rama,2025,Forge,Defender,defender,27.0,2201,1.0,2.0,10.0,3.0,4.0,2.0,47.0,47.0,31.0,3.0,10.0,0.0,84.0,0.9,55.56,0.037037037037037,0.074074074074074,0.3703703703703703,0.1481481481481481,0.074074074074074,81.51851851851852,cpl::Football_Player::f40858671e354d42ad80fd9d251afb6f
R. Reyes,2021,Valour,Defender,defender,17.0,1086,0.0,0.0,6.0,0.0,1.0,0.0,20.0,10.0,7.0,1.0,3.0,0.0,88.0,1.41,0.0,0.0,0.0,0.3529411764705882,0.0588235294117647,0.0,63.88235294117647,cpl::Football_Player::870c9f9099fd40cab60d803b7adf2827
R. Robinson,2022,Wanderers,Forward,forward,18.0,400,0.0,0.0,5.0,0.0,3.0,0.0,3.0,8.0,2.0,1.0,0.0,0.0,75.0,1.35,0.0,0.0,0.0,0.2777777777777778,0.1666666666666666,0.0,22.22222222222222,cpl::Football_Player::37534b784b5645618118b6cc3a2616e3
R. Romeo,2021,Valour,Defender,defender,16.0,1439,2.0,0.0,10.0,0.0,4.0,0.0,13.0,19.0,3.0,2.0,6.0,1.0,86.0,1.63,0.0,0.125,0.0,0.625,0.25,0.0,89.9375,cpl::Football_Player::a22a6c20e107412398d843c4ab034577
R. Romeo,2022,Valour,Defender,defender,23.0,1926,2.0,0.0,11.0,0.0,4.0,0.0,21.0,19.0,7.0,1.0,6.0,0.0,84.0,1.36,0.0,0.0869565217391304,0.0,0.4782608695652174,0.1739130434782608,0.0,83.73913043478261,cpl::Football_Player::a22a6c20e107412398d843c4ab034577
R. Romeo,2023,Valour,Defender,defender,25.0,2189,0.0,0.0,3.0,0.0,1.0,0.0,20.0,16.0,6.0,0.0,6.0,1.0,84.0,1.77,0.0,0.0,0.0,0.12,0.04,0.0,87.56,cpl::Football_Player::a22a6c20e107412398d843c4ab034577
