match_id,season,date,team,playerName,expected_minutes,source
2022_2022-04-10_Edmonton_vs_Valour,2022,2022-04-10T20:00:00Z,Edmonton,K. Porter,90.0,calculated
2022_2022-04-10_Edmonton_vs_Valour,2022,2022-04-10T20:00:00Z,Edmonton,K. Mansaray,90.0,calculated
2022_2022-04-10_Edmonton_vs_Valour,2022,2022-04-10T20:00:00Z,Edmonton,M. Krutzen,90.0,calculated
2022_2022-04-10_Edmonton_vs_Valour,2022,2022-04-10T20:00:00Z,Edmonton,L. Singh,90.0,calculated
2022_2022-04-10_Edmonton_vs_Valour,2022,2022-04-10T20:00:00Z,Edmonton,C. Fayia,90.0,calculated
2022_2022-04-10_Edmonton_vs_Valour,2022,2022-04-10T20:00:00Z,Edmonton,G. Darling,90.0,calculated
2022_2022-04-10_Edmonton_vs_Valour,2022,2022-04-10T20:00:00Z,Edmonton,S. Shome,90.0,calculated
2022_2022-04-10_Edmonton_vs_Valour,2022,2022-04-10T20:00:00Z,Edmonton,T. Timoteo,90.0,calculated
2022_2022-04-10_Edmonton_vs_Valour,2022,2022-04-10T20:00:00Z,Valour,A. Baquero,90.0,calculated
2022_2022-04-10_Edmonton_vs_Valour,2022,2022-04-10T20:00:00Z,Valour,Z. Fernandez,90.0,calculated
2022_2022-04-10_Edmonton_vs_Valour,2022,2022-04-10T20:00:00Z,Valour,R. Romeo,90.0,calculated
2022_2022-04-10_Edmonton_vs_Valour,2022,2022-04-10T20:00:00Z,Valour,D. Fordyce,90.0,calculated
2022_2022-04-10_Edmonton_vs_Valour,2022,2022-04-10T20:00:00Z,Valour,S. Cebara,90.0,calculated
2022_2022-04-10_Edmonton_vs_Valour,2022,2022-04-10T20:00:00Z,Valour,A. Jean-Baptiste,90.0,calculated
2022_2022-04-10_Edmonton_vs_Valour,2022,2022-04-10T20:00:00Z,Valour,A. Samaké,90.0,calculated
2022_2022-04-10_Edmonton_vs_Valour,2022,2022-04-10T20:00:00Z,Valour,T. Mourdoukoutas,90.0,calculated
2022_2022-04-10_Edmonton_vs_Valour,2022,2022-04-10T20:00:00Z,Valour,Roberto Alarcón,90.0,calculated
2022_2022-04-10_Edmonton_vs_Valour,2022,2022-04-10T20:00:00Z,Valour,W. Ponce,90.0,calculated
2022_2022-04-10_Edmonton_vs_Valour,2022,2022-04-10T20:00:00Z,Valour,M. Polisi,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Forge,A. Achinioti-Jönsson,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Forge,T. Henry,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Forge,A. Hojabrpour,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Forge,K. Bekker,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Forge,T. Borges,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Forge,D. Choinière,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Forge,R. Rama,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Forge,G. Metusala,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Forge,B. Wright,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Forge,M. Owolabi-Belewu,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Forge,K. Poku,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Pacific,M. Bustos,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Pacific,J. Heard,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Pacific,Z. Bahous,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Pacific,S. Young,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Pacific,P. Lamothe,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Pacific,C. Toussaint,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Pacific,A. Daniels,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Pacific,Gianni dos Santos,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Pacific,D. Daniels,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Pacific,G. Mukumbilwa,90.0,calculated
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10T23:00:00Z,Pacific,R. Kratt,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,Edmonton,S. Triantafillou,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,Edmonton,B. Bissainthe,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,Edmonton,A. González,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,Edmonton,K. Porter,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,Edmonton,K. Mansaray,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,Edmonton,M. Krutzen,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,Edmonton,L. Singh,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,Edmonton,C. Fayia,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,Edmonton,G. Darling,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,Edmonton,S. Shome,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,Edmonton,T. Timoteo,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,York,J. Wilson,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,York,O. De Rosario,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,York,N. Higgins,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,York,L. Singh,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,York,Gabriel Bitar,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,York,R. Thompson,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,York,M. Hernández,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,York,E. Adekugbe,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,York,Matthew Baldisimo,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,York,J. Di Chiara,90.0,calculated
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16T01:00:00Z,York,T. Mohammed,90.0,calculated
2022_2022-04-16_Atlético_Ottawa_vs_HFX_Wanderers,2022,2022-04-16T17:00:00Z,Atlético,O. Bassett,90.0,calculated
